Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,PARKINSONS,control_pre_v_park_pre,0.5253623188405797,0.5253623188405797,0.6086956521739131,0.5652173913043478,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5471014492753623,0.5434782608695652
LDA,PARKINSONS,control_pre_v_park_pre,0.605072463768116,0.5362318840579711,0.6123188405797102,0.6304347826086957,0.5434782608695652,0.4855072463768116,0.45652173913043476,0.427536231884058,0.4601449275362319,0.5434782608695652
SVM,PARKINSONS,control_pre_v_park_pre,0.6557971014492754,0.5434782608695652,0.5978260869565217,0.6123188405797102,0.5434782608695652,0.42391304347826086,0.5434782608695652,0.5181159420289855,0.5543478260869565,0.5434782608695652
KNN-1,PARKINSONS,control_pre_v_park_pre,0.7681159420289855,0.5362318840579711,0.5108695652173914,0.6340579710144928,0.463768115942029,0.5434782608695652,0.5434782608695652,0.463768115942029,0.47101449275362317,0.5434782608695652
KNN-2,PARKINSONS,control_pre_v_park_pre,0.7753623188405797,0.5434782608695652,0.5615942028985508,0.6485507246376812,0.47101449275362317,0.6195652173913043,0.5434782608695652,0.4492753623188406,0.5181159420289855,0.5434782608695652
KNN-3,PARKINSONS,control_pre_v_park_pre,0.7789855072463768,0.5253623188405797,0.532608695652174,0.6884057971014492,0.5652173913043478,0.6195652173913043,0.5434782608695652,0.47101449275362317,0.4673913043478261,0.5434782608695652
KNN-4,PARKINSONS,control_pre_v_park_pre,0.8079710144927537,0.5652173913043478,0.572463768115942,0.6811594202898551,0.4528985507246377,0.6123188405797102,0.5434782608695652,0.4963768115942029,0.5108695652173914,0.5434782608695652
KNN-5,PARKINSONS,control_pre_v_park_pre,0.7934782608695652,0.5434782608695652,0.5471014492753623,0.6630434782608695,0.4891304347826087,0.5905797101449275,0.5434782608695652,0.5,0.4746376811594203,0.5434782608695652
KNN-6,PARKINSONS,control_pre_v_park_pre,0.8115942028985508,0.5507246376811594,0.5543478260869565,0.6666666666666666,0.5072463768115942,0.5253623188405797,0.5434782608695652,0.4782608695652174,0.5181159420289855,0.5434782608695652
KNN-7,PARKINSONS,control_pre_v_park_pre,0.7934782608695652,0.5507246376811594,0.5181159420289855,0.6594202898550725,0.5144927536231884,0.5181159420289855,0.5434782608695652,0.463768115942029,0.4927536231884058,0.5434782608695652
KNN-8,PARKINSONS,control_pre_v_park_pre,0.8043478260869565,0.5398550724637681,0.5615942028985508,0.6702898550724637,0.572463768115942,0.5181159420289855,0.5434782608695652,0.4782608695652174,0.5036231884057971,0.5434782608695652
KNN-9,PARKINSONS,control_pre_v_park_pre,0.782608695652174,0.5398550724637681,0.5253623188405797,0.677536231884058,0.5688405797101449,0.5036231884057971,0.5434782608695652,0.4673913043478261,0.48188405797101447,0.5434782608695652
KNN-10,PARKINSONS,control_pre_v_park_pre,0.7681159420289855,0.5471014492753623,0.5434782608695652,0.6739130434782609,0.5072463768115942,0.5108695652173914,0.5434782608695652,0.4673913043478261,0.5144927536231884,0.5434782608695652
KNN-20,PARKINSONS,control_pre_v_park_pre,0.75,0.5434782608695652,0.5905797101449275,0.6304347826086957,0.5217391304347826,0.5434782608695652,0.5434782608695652,0.4927536231884058,0.5253623188405797,0.5434782608695652
