Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
LDA,LEARNING,rest_v_task,0.7986111111111112,0.7870370370370371,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8194444444444444,0.8888888888888888
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
KNN-1,LEARNING,rest_v_task,0.7916666666666666,0.8125,0.8101851851851852,0.8125,0.8240740740740741,0.7893518518518519,0.8888888888888888,0.8009259259259259,0.7662037037037037,0.8888888888888888
KNN-2,LEARNING,rest_v_task,0.7361111111111112,0.7407407407407407,0.7546296296296297,0.7314814814814815,0.7986111111111112,0.6504629629629629,0.8888888888888888,0.7060185185185185,0.6782407407407407,0.8888888888888888
KNN-3,LEARNING,rest_v_task,0.8634259259259259,0.8680555555555556,0.8703703703703703,0.8703703703703703,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8564814814814815,0.8495370370370371,0.8888888888888888
KNN-4,LEARNING,rest_v_task,0.8472222222222222,0.8472222222222222,0.8402777777777778,0.8518518518518519,0.7962962962962963,0.8865740740740741,0.8888888888888888,0.8379629629629629,0.8217592592592593,0.8888888888888888
KNN-5,LEARNING,rest_v_task,0.8865740740740741,0.8842592592592593,0.8865740740740741,0.8819444444444444,0.8773148148148148,0.8935185185185185,0.8888888888888888,0.875,0.8657407407407407,0.8888888888888888
KNN-6,LEARNING,rest_v_task,0.8773148148148148,0.8726851851851852,0.8796296296296297,0.8726851851851852,0.8009259259259259,0.8796296296296297,0.1111111111111111,0.8680555555555556,0.8564814814814815,0.8888888888888888
KNN-7,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.875,0.1111111111111111,0.8819444444444444,0.8819444444444444,0.8888888888888888
KNN-8,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8819444444444444,0.8819444444444444,0.8657407407407407,0.8726851851851852,0.1111111111111111,0.8819444444444444,0.875,0.8888888888888888
KNN-9,LEARNING,rest_v_task,0.8842592592592593,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.1111111111111111,0.8865740740740741,0.8888888888888888,0.8888888888888888
KNN-10,LEARNING,rest_v_task,0.8842592592592593,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.1111111111111111,0.8842592592592593,0.8888888888888888,0.8888888888888888
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888
