Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,REFLECT_SUMMED,rest_v_task,0.9741935483870968,,0.8,0.8516129032258064,0.8,0.8,0.8,0.8,0.8,0.8
LDA,REFLECT_SUMMED,rest_v_task,0.5290322580645161,,0.864516129032258,1.0,0.8,0.7806451612903226,0.8,0.7677419354838709,0.6387096774193548,0.8
SVM,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8774193548387097,0.9935483870967742,0.7806451612903226,0.8,0.8,0.8,0.8,0.8
KNN-1,REFLECT_SUMMED,rest_v_task,0.9870967741935484,,0.8,0.9806451612903225,0.9741935483870968,0.9935483870967742,0.8,0.7225806451612903,0.6967741935483871,0.8
KNN-2,REFLECT_SUMMED,rest_v_task,0.9806451612903225,,0.7354838709677419,0.9806451612903225,0.9741935483870968,0.9935483870967742,0.8,0.6903225806451613,0.6580645161290323,0.8
KNN-3,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8516129032258064,0.9935483870967742,0.9806451612903225,0.9806451612903225,0.8,0.7612903225806451,0.7870967741935484,0.8
KNN-4,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8193548387096774,0.9870967741935484,0.9806451612903225,0.9806451612903225,0.2,0.7677419354838709,0.7483870967741936,0.8
KNN-5,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8774193548387097,0.9935483870967742,0.9612903225806452,0.9806451612903225,0.2,0.7806451612903226,0.7806451612903226,0.8
KNN-6,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.832258064516129,0.9870967741935484,0.9612903225806452,0.9548387096774194,0.2,0.7935483870967742,0.7806451612903226,0.8
KNN-7,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8580645161290322,0.9935483870967742,0.9741935483870968,0.9548387096774194,0.2,0.7870967741935484,0.7741935483870968,0.8
KNN-8,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8580645161290322,0.9935483870967742,0.9741935483870968,0.9612903225806452,0.2,0.7806451612903226,0.7612903225806451,0.8
KNN-9,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8709677419354839,0.9935483870967742,0.9741935483870968,0.9612903225806452,0.2,0.7935483870967742,0.7870967741935484,0.8
KNN-10,REFLECT_SUMMED,rest_v_task,0.9870967741935484,,0.8516129032258064,0.9806451612903225,0.9741935483870968,0.9612903225806452,0.2,0.7935483870967742,0.7870967741935484,0.8
KNN-20,REFLECT_SUMMED,rest_v_task,0.9935483870967742,,0.8774193548387097,0.9935483870967742,0.8,0.8516129032258064,0.2,0.8,0.8,0.8
