Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,allpain_v_pain,0.5591397849462365,,0.6021505376344086,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
LDA,OSTEO,allpain_v_pain,0.11827956989247312,,0.6021505376344086,0.3333333333333333,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.41935483870967744,0.45161290322580644,0.6021505376344086
SVM,OSTEO,allpain_v_pain,0.6021505376344086,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
KNN-1,OSTEO,allpain_v_pain,0.1827956989247312,,0.17204301075268819,0.1935483870967742,0.46236559139784944,0.5483870967741935,0.3978494623655914,0.11827956989247312,0.0967741935483871,0.6021505376344086
KNN-2,OSTEO,allpain_v_pain,0.5268817204301075,,0.5376344086021505,0.4946236559139785,0.5806451612903226,0.6021505376344086,0.6021505376344086,0.45161290322580644,0.4731182795698925,0.6021505376344086
KNN-3,OSTEO,allpain_v_pain,0.3010752688172043,,0.26881720430107525,0.27956989247311825,0.6129032258064516,0.6021505376344086,0.6021505376344086,0.2903225806451613,0.25806451612903225,0.6021505376344086
KNN-4,OSTEO,allpain_v_pain,0.5268817204301075,,0.5483870967741935,0.5268817204301075,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.4946236559139785,0.5483870967741935,0.6021505376344086
KNN-5,OSTEO,allpain_v_pain,0.3978494623655914,,0.34408602150537637,0.3225806451612903,0.6559139784946236,0.6021505376344086,0.6021505376344086,0.3010752688172043,0.3978494623655914,0.6021505376344086
KNN-6,OSTEO,allpain_v_pain,0.5483870967741935,,0.5161290322580645,0.5268817204301075,0.6129032258064516,0.6021505376344086,0.6021505376344086,0.5591397849462365,0.5806451612903226,0.6021505376344086
KNN-7,OSTEO,allpain_v_pain,0.46236559139784944,,0.3870967741935484,0.41935483870967744,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.46236559139784944,0.4731182795698925,0.6021505376344086
KNN-8,OSTEO,allpain_v_pain,0.5591397849462365,,0.5376344086021505,0.5698924731182796,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.5591397849462365,0.5806451612903226,0.6021505376344086
KNN-9,OSTEO,allpain_v_pain,0.5268817204301075,,0.46236559139784944,0.4838709677419355,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.46236559139784944,0.5161290322580645,0.6021505376344086
KNN-10,OSTEO,allpain_v_pain,0.6021505376344086,,0.5698924731182796,0.5806451612903226,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.5806451612903226,0.6021505376344086
KNN-20,OSTEO,allpain_v_pain,0.6021505376344086,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
