Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,allpain_v_pain,0.12903225806451613,,0.6021505376344086,0.3118279569892473,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
LDA,OSTEO,allpain_v_pain,0.0967741935483871,,0.6021505376344086,0.3333333333333333,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.41935483870967744,0.6344086021505376,0.6021505376344086
SVM,OSTEO,allpain_v_pain,0.6021505376344086,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
KNN-1,OSTEO,allpain_v_pain,0.15053763440860216,,0.17204301075268819,0.15053763440860216,0.46236559139784944,0.5483870967741935,0.3978494623655914,0.11827956989247312,0.13978494623655913,0.6021505376344086
KNN-2,OSTEO,allpain_v_pain,0.4946236559139785,,0.5376344086021505,0.4946236559139785,0.5806451612903226,0.6021505376344086,0.6021505376344086,0.4731182795698925,0.5161290322580645,0.6021505376344086
KNN-3,OSTEO,allpain_v_pain,0.25806451612903225,,0.26881720430107525,0.24731182795698925,0.6129032258064516,0.6021505376344086,0.6021505376344086,0.25806451612903225,0.23655913978494625,0.6021505376344086
KNN-4,OSTEO,allpain_v_pain,0.5376344086021505,,0.5483870967741935,0.5268817204301075,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.4946236559139785,0.5806451612903226,0.6021505376344086
KNN-5,OSTEO,allpain_v_pain,0.3763440860215054,,0.34408602150537637,0.3763440860215054,0.6559139784946236,0.6021505376344086,0.6021505376344086,0.3870967741935484,0.46236559139784944,0.6021505376344086
KNN-6,OSTEO,allpain_v_pain,0.5268817204301075,,0.5161290322580645,0.5268817204301075,0.6129032258064516,0.6021505376344086,0.6021505376344086,0.5483870967741935,0.5806451612903226,0.6021505376344086
KNN-7,OSTEO,allpain_v_pain,0.3763440860215054,,0.3870967741935484,0.3870967741935484,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.45161290322580644,0.45161290322580644,0.6021505376344086
KNN-8,OSTEO,allpain_v_pain,0.6021505376344086,,0.5376344086021505,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.5483870967741935,0.5806451612903226,0.6021505376344086
KNN-9,OSTEO,allpain_v_pain,0.46236559139784944,,0.46236559139784944,0.45161290322580644,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.45161290322580644,0.5483870967741935,0.6021505376344086
KNN-10,OSTEO,allpain_v_pain,0.6021505376344086,,0.5698924731182796,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.5698924731182796,0.6021505376344086,0.6021505376344086
KNN-20,OSTEO,allpain_v_pain,0.6021505376344086,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086
