Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,duloxetine_v_pain,0.6607142857142857,,0.6607142857142857,0.6428571428571429,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6428571428571429,0.625,0.6607142857142857
LDA,OSTEO,duloxetine_v_pain,0.4642857142857143,,0.6428571428571429,0.6071428571428571,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.44642857142857145,0.5892857142857143,0.6607142857142857
SVM,OSTEO,duloxetine_v_pain,0.6428571428571429,,0.5892857142857143,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.625,0.6428571428571429,0.6607142857142857
KNN-1,OSTEO,duloxetine_v_pain,0.5357142857142857,,0.5714285714285714,0.5892857142857143,0.35714285714285715,0.30357142857142855,0.3392857142857143,0.42857142857142855,0.35714285714285715,0.6607142857142857
KNN-2,OSTEO,duloxetine_v_pain,0.4642857142857143,,0.625,0.5178571428571429,0.32142857142857145,0.30357142857142855,0.3392857142857143,0.35714285714285715,0.30357142857142855,0.6607142857142857
KNN-3,OSTEO,duloxetine_v_pain,0.5357142857142857,,0.6428571428571429,0.5714285714285714,0.39285714285714285,0.25,0.3392857142857143,0.5892857142857143,0.42857142857142855,0.6607142857142857
KNN-4,OSTEO,duloxetine_v_pain,0.44642857142857145,,0.5535714285714286,0.48214285714285715,0.42857142857142855,0.30357142857142855,0.3392857142857143,0.5178571428571429,0.375,0.6607142857142857
KNN-5,OSTEO,duloxetine_v_pain,0.5714285714285714,,0.5714285714285714,0.5714285714285714,0.48214285714285715,0.32142857142857145,0.3392857142857143,0.625,0.5357142857142857,0.6607142857142857
KNN-6,OSTEO,duloxetine_v_pain,0.5357142857142857,,0.5,0.6071428571428571,0.48214285714285715,0.32142857142857145,0.3392857142857143,0.625,0.4642857142857143,0.6607142857142857
KNN-7,OSTEO,duloxetine_v_pain,0.5892857142857143,,0.6428571428571429,0.6428571428571429,0.6607142857142857,0.35714285714285715,0.3392857142857143,0.6428571428571429,0.5535714285714286,0.6607142857142857
KNN-8,OSTEO,duloxetine_v_pain,0.44642857142857145,,0.5535714285714286,0.6071428571428571,0.6607142857142857,0.35714285714285715,0.3392857142857143,0.6428571428571429,0.4107142857142857,0.6607142857142857
KNN-9,OSTEO,duloxetine_v_pain,0.5178571428571429,,0.5892857142857143,0.6428571428571429,0.6607142857142857,0.625,0.3392857142857143,0.6428571428571429,0.5714285714285714,0.6607142857142857
KNN-10,OSTEO,duloxetine_v_pain,0.4642857142857143,,0.5357142857142857,0.625,0.6607142857142857,0.625,0.3392857142857143,0.6607142857142857,0.5535714285714286,0.6607142857142857
KNN-20,OSTEO,duloxetine_v_pain,0.5892857142857143,,0.6607142857142857,0.625,0.5357142857142857,0.6607142857142857,0.3392857142857143,0.625,0.6607142857142857,0.6607142857142857
