,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,nopain_v_pain,0.509,0.649,0.544,0.649,0.649,0.649,0.684,0.614,0.649
LDA,OSTEO,nopain_v_pain,0.474,0.614,0.474,0.632,0.649,0.649,0.649,0.579,0.649
SVM,OSTEO,nopain_v_pain,0.649,0.632,0.596,0.632,0.649,0.649,0.596,0.649,0.649
KNN-1,OSTEO,nopain_v_pain,0.526,0.509,0.509,0.368,0.404,0.368,0.667,0.491,0.649
KNN-2,OSTEO,nopain_v_pain,0.386,0.474,0.421,0.333,0.404,0.351,0.596,0.404,0.649
KNN-3,OSTEO,nopain_v_pain,0.544,0.368,0.632,0.333,0.368,0.386,0.684,0.421,0.649
KNN-4,OSTEO,nopain_v_pain,0.561,0.333,0.509,0.351,0.404,0.351,0.632,0.316,0.649
KNN-5,OSTEO,nopain_v_pain,0.544,0.491,0.579,0.193,0.333,0.351,0.649,0.491,0.649
KNN-6,OSTEO,nopain_v_pain,0.491,0.526,0.544,0.193,0.333,0.351,0.684,0.421,0.649
KNN-7,OSTEO,nopain_v_pain,0.544,0.561,0.579,0.614,0.526,0.351,0.632,0.544,0.649
KNN-8,OSTEO,nopain_v_pain,0.491,0.561,0.544,0.614,0.526,0.351,0.596,0.456,0.649
KNN-9,OSTEO,nopain_v_pain,0.561,0.579,0.526,0.614,0.474,0.351,0.632,0.579,0.649
KNN-10,OSTEO,nopain_v_pain,0.456,0.526,0.579,0.614,0.474,0.351,0.614,0.561,0.649
KNN-20,OSTEO,nopain_v_pain,0.649,0.561,0.491,0.491,0.491,0.351,0.649,0.544,0.649
