,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.591,0.591,0.58,0.58,0.568,0.591,0.568,0.591,0.591
LDA,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.443,0.591,0.557,0.614,0.568,0.557,0.557,0.489,0.591
SVM,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.636,0.625,0.591,0.591,0.614,0.557,0.591,0.58,0.591
KNN-1,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.58,0.568,0.591,0.511,0.58,0.409,0.602,0.523,0.591
KNN-2,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.602,0.591,0.614,0.648,0.614,0.545,0.636,0.545,0.591
KNN-3,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.489,0.545,0.591,0.557,0.568,0.432,0.648,0.489,0.591
KNN-4,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.545,0.636,0.602,0.614,0.58,0.545,0.659,0.489,0.591
KNN-5,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.557,0.625,0.568,0.659,0.455,0.42,0.648,0.352,0.591
KNN-6,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.58,0.636,0.591,0.636,0.591,0.534,0.636,0.489,0.591
KNN-7,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.545,0.636,0.648,0.648,0.523,0.511,0.591,0.443,0.591
KNN-8,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.557,0.602,0.591,0.614,0.5,0.534,0.602,0.443,0.591
KNN-9,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.511,0.591,0.614,0.636,0.443,0.523,0.58,0.42,0.591
KNN-10,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.58,0.625,0.602,0.636,0.489,0.511,0.625,0.443,0.591
KNN-20,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.58,0.58,0.58,0.58,0.648,0.58,0.534,0.523,0.591
