Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7954545454545454,0.6818181818181818,0.6818181818181818,0.7727272727272727,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
LDA,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.5113636363636364,0.6136363636363636,0.6818181818181818,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.5454545454545454,0.4090909090909091,0.6818181818181818
SVM,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7272727272727273,0.7272727272727273,0.6818181818181818,0.7840909090909091,0.6477272727272727,0.6704545454545454,0.6818181818181818,0.6818181818181818,0.6704545454545454,0.6818181818181818
KNN-1,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.6136363636363636,0.625,0.6136363636363636,0.6477272727272727,0.6363636363636364,0.5795454545454546,0.3181818181818182,0.5795454545454546,0.5909090909090909,0.6818181818181818
KNN-2,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7272727272727273,0.6704545454545454,0.6704545454545454,0.7613636363636364,0.6477272727272727,0.6022727272727273,0.6818181818181818,0.6477272727272727,0.6136363636363636,0.6818181818181818
KNN-3,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7386363636363636,0.6136363636363636,0.6477272727272727,0.7386363636363636,0.6704545454545454,0.6363636363636364,0.6818181818181818,0.6022727272727273,0.5909090909090909,0.6818181818181818
KNN-4,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7272727272727273,0.6477272727272727,0.6931818181818182,0.7840909090909091,0.6590909090909091,0.7045454545454546,0.6818181818181818,0.625,0.6931818181818182,0.6818181818181818
KNN-5,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7272727272727273,0.625,0.6704545454545454,0.7613636363636364,0.625,0.6931818181818182,0.6818181818181818,0.6363636363636364,0.6818181818181818,0.6818181818181818
KNN-6,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7159090909090909,0.6931818181818182,0.6931818181818182,0.7954545454545454,0.6590909090909091,0.6477272727272727,0.6818181818181818,0.6704545454545454,0.6818181818181818,0.6818181818181818
KNN-7,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7159090909090909,0.6590909090909091,0.6477272727272727,0.8068181818181818,0.6704545454545454,0.625,0.6818181818181818,0.625,0.6477272727272727,0.6818181818181818
KNN-8,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7159090909090909,0.6818181818181818,0.6136363636363636,0.7840909090909091,0.6590909090909091,0.6590909090909091,0.6818181818181818,0.6704545454545454,0.625,0.6818181818181818
KNN-9,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7045454545454546,0.6704545454545454,0.6022727272727273,0.8068181818181818,0.6590909090909091,0.6363636363636364,0.6818181818181818,0.6477272727272727,0.6136363636363636,0.6818181818181818
KNN-10,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7272727272727273,0.6704545454545454,0.6022727272727273,0.7840909090909091,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6477272727272727,0.6590909090909091,0.6818181818181818
KNN-20,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.6818181818181818,0.6818181818181818,0.6477272727272727,0.7045454545454546,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
