Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8078703703703703,0.8171296296296297,0.8888888888888888,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.017746913580246937,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7708333333333334,0.7777777777777778,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8819444444444444,0.8356481481481481,0.8888888888888888,-0.03343621399176955,-0.012037037037037068,-0.020061728395061706,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8101851851851852,0.7986111111111112,0.7824074074074074,0.8148148148148148,0.5879629629629629,0.7800925925925926,0.8634259259259259,0.8101851851851852,0.8263888888888888,0.8888888888888888,-0.10288065843621386,-0.11527777777777781,-0.05555555555555547,-0.02546296296296291,-0.02546296296296291,-0.02546296296296291
KNN-2,LEARNING,rest_v_task,0.7245370370370371,0.7152777777777778,0.7152777777777778,0.7199074074074074,0.5486111111111112,0.7314814814814815,0.8495370370370371,0.7615740740740741,0.7199074074074074,0.8888888888888888,-0.16820987654320974,-0.16666666666666663,-0.1118827160493826,-0.03935185185185175,-0.03935185185185175,-0.03935185185185175
KNN-3,LEARNING,rest_v_task,0.8680555555555556,0.8611111111111112,0.8587962962962963,0.8657407407407407,0.8171296296296297,0.8032407407407407,0.8888888888888888,0.8634259259259259,0.8773148148148148,0.8888888888888888,-0.03292181069958833,-0.03888888888888886,-0.012345679012345623,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8541666666666666,0.8333333333333334,0.8425925925925926,0.8495370370370371,0.8101851851851852,0.7777777777777778,0.8865740740740741,0.8611111111111112,0.8680555555555556,0.8888888888888888,-0.04629629629629628,-0.04814814814814805,-0.016975308641975384,-0.0023148148148147696,-0.0023148148148147696,-0.0023148148148147696
KNN-5,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8865740740740741,0.8680555555555556,0.8796296296296297,0.8888888888888888,0.8726851851851852,0.8865740740740741,0.8888888888888888,-0.005915637860082201,-0.009722222222222188,-0.006172839506172867,0.0,0.0,0.0
KNN-6,LEARNING,rest_v_task,0.8865740740740741,0.8819444444444444,0.8842592592592593,0.8865740740740741,0.8657407407407407,0.875,0.8888888888888888,0.8611111111111112,0.8796296296296297,0.8888888888888888,-0.010030864197530853,-0.014814814814814836,-0.012345679012345623,0.0,0.0,0.0
KNN-7,LEARNING,rest_v_task,0.8888888888888888,0.8912037037037037,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,-0.003343621399176877,-0.0064814814814814214,-0.0007716049382716639,0.0023148148148148806,0.0,0.0
KNN-8,LEARNING,rest_v_task,0.8865740740740741,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8634259259259259,0.8773148148148148,0.8888888888888888,0.8865740740740741,0.8796296296296297,0.8888888888888888,-0.005915637860082312,-0.009722222222222188,-0.0038580246913579863,0.0,0.0,0.0
KNN-9,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,-0.0015432098765432167,-0.002777777777777768,-0.0007716049382716639,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8819444444444444,0.8888888888888888,-0.0023148148148148806,-0.0037037037037037646,-0.0023148148148147696,0.0,0.0,0.0
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_nopain,0.5789473684210527,,0.7368421052631579,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6447368421052632,0.7368421052631579,-0.03618421052631582,-0.018421052631578894,-0.030701754385964897,0.0,0.0,0.0
LDA,OSTEO,allpain_v_nopain,0.4868421052631579,,0.75,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.6578947368421053,0.4473684210526316,0.7368421052631579,-0.08059210526315774,-0.07631578947368423,-0.1271929824561402,0.013157894736842146,0.0,-0.013157894736842035
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.75,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.004934210526315819,-0.010526315789473606,-0.013157894736842035,0.013157894736842146,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.6973684210526315,,0.6973684210526315,0.6973684210526315,0.6447368421052632,0.6052631578947368,0.2236842105263158,0.6973684210526315,0.6447368421052632,0.7368421052631579,-0.12335526315789469,-0.17368421052631577,-0.21491228070175428,-0.03947368421052633,-0.03947368421052633,-0.03947368421052633
KNN-2,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.631578947368421,0.7368421052631579,-0.016447368421052544,-0.02631578947368418,-0.03947368421052633,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.6578947368421053,,0.7368421052631579,0.6578947368421053,0.7368421052631579,0.7236842105263158,0.7236842105263158,0.7631578947368421,0.6710526315789473,0.7368421052631579,-0.02796052631578949,-0.013157894736842146,-0.01754385964912275,0.026315789473684292,0.026315789473684292,0.026315789473684292
KNN-4,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.75,0.75,0.6052631578947368,0.7368421052631579,-0.014802631578947345,-0.021052631578947323,-0.03508771929824561,0.013157894736842146,0.013157894736842146,0.013157894736842146
KNN-5,OSTEO,allpain_v_nopain,0.7105263157894737,,0.6842105263157895,0.7105263157894737,0.7368421052631579,0.7236842105263158,0.6842105263157895,0.7763157894736842,0.6578947368421053,0.7368421052631579,-0.02631578947368407,-0.021052631578947323,-0.030701754385964897,0.03947368421052633,0.03947368421052633,0.03947368421052633
KNN-6,OSTEO,allpain_v_nopain,0.7105263157894737,,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.7763157894736842,0.6973684210526315,0.7368421052631579,-0.009868421052631526,-0.0052631578947368585,-0.00877192982456143,0.03947368421052633,0.03947368421052633,0.03947368421052633
KNN-7,OSTEO,allpain_v_nopain,0.6842105263157895,,0.7763157894736842,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.8289473684210527,0.6842105263157895,0.7368421052631579,-0.009868421052631526,-0.0026315789473684292,-0.004385964912280715,0.0921052631578948,0.0921052631578948,0.0921052631578948
KNN-8,OSTEO,allpain_v_nopain,0.6842105263157895,,0.75,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.7894736842105263,0.7105263157894737,0.7368421052631579,-0.011513157894736836,0.0,0.0,0.052631578947368474,0.052631578947368474,0.052631578947368474
KNN-9,OSTEO,allpain_v_nopain,0.6842105263157895,,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.8157894736842105,0.6842105263157895,0.7368421052631579,-0.013157894736842146,0.0,0.0,0.07894736842105265,0.07894736842105265,0.07894736842105265
KNN-10,OSTEO,allpain_v_nopain,0.7236842105263158,,0.7631578947368421,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.8026315789473685,0.6973684210526315,0.7368421052631579,0.001644736842105421,0.0026315789473684292,0.004385964912280826,0.06578947368421062,0.06578947368421062,0.06578947368421062
KNN-20,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.75,0.7105263157894737,0.7368421052631579,-0.004934210526315819,-0.007894736842105288,-0.013157894736842035,0.013157894736842146,0.013157894736842146,0.013157894736842146
Logistic Regression,OSTEO,allpain_v_duloxetine,0.44,,0.7466666666666667,0.6,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.72,0.7066666666666667,0.7466666666666667,-0.06500000000000006,-0.01333333333333342,-0.022222222222222254,0.0,0.0,0.0
LDA,OSTEO,allpain_v_duloxetine,0.4266666666666667,,0.7466666666666667,0.5466666666666666,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.64,0.3333333333333333,0.7466666666666667,-0.1316666666666667,-0.10666666666666669,-0.17333333333333334,0.0,0.0,0.0
SVM,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7466666666666667,-0.0033333333333332993,-0.005333333333333412,-0.004444444444444473,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_duloxetine,0.4533333333333333,,0.4666666666666667,0.4533333333333333,0.5333333333333333,0.44,0.3466666666666667,0.4266666666666667,0.44,0.7466666666666667,-0.3016666666666667,-0.3093333333333333,-0.34222222222222226,-0.21333333333333337,-0.21333333333333337,-0.3066666666666667
KNN-2,OSTEO,allpain_v_duloxetine,0.7333333333333333,,0.72,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7466666666666667,0.72,0.68,0.7466666666666667,-0.021666666666666723,-0.02399999999999991,-0.03111111111111109,0.0,0.0,0.0
