Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7708333333333334,0.7615740740740741,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8402777777777778,0.8888888888888888,-0.03395061728395066,-0.009722222222222188,-0.01620370370370372,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8078703703703703,0.8148148148148148,0.7824074074074074,0.7962962962962963,0.5856481481481481,0.7800925925925926,0.8773148148148148,0.8009259259259259,0.7893518518518519,0.8888888888888888,-0.10725308641975306,-0.12222222222222223,-0.06635802469135799,-0.01157407407407407,-0.01157407407407407,-0.01157407407407407
KNN-2,LEARNING,rest_v_task,0.7384259259259259,0.7222222222222222,0.7152777777777778,0.7060185185185185,0.5486111111111112,0.7314814814814815,0.5694444444444444,0.7199074074074074,0.6759259259259259,0.8888888888888888,-0.2080761316872427,-0.2398148148148147,-0.23379629629629628,-0.1504629629629629,-0.15740740740740733,-0.1689814814814814
KNN-3,LEARNING,rest_v_task,0.8703703703703703,0.8518518518518519,0.8587962962962963,0.8634259259259259,0.8171296296296297,0.8032407407407407,0.7824074074074074,0.8726851851851852,0.8472222222222222,0.8888888888888888,-0.04809670781892994,-0.06435185185185177,-0.054783950617283916,-0.01620370370370361,-0.01620370370370361,-0.01620370370370361
KNN-4,LEARNING,rest_v_task,0.8564814814814815,0.8263888888888888,0.8425925925925926,0.8495370370370371,0.8101851851851852,0.7777777777777778,0.7777777777777778,0.8449074074074074,0.8310185185185185,0.8888888888888888,-0.06481481481481488,-0.08055555555555549,-0.07098765432098764,-0.03240740740740733,-0.0439814814814814,-0.0439814814814814
KNN-5,LEARNING,rest_v_task,0.8912037037037037,0.8819444444444444,0.8888888888888888,0.8796296296296297,0.8680555555555556,0.8796296296296297,0.8865740740740741,0.8703703703703703,0.875,0.8888888888888888,-0.00874485596707808,-0.012962962962962843,-0.011574074074073959,0.0023148148148148806,-0.0023148148148147696,-0.0023148148148147696
KNN-6,LEARNING,rest_v_task,0.8888888888888888,0.875,0.8842592592592593,0.8796296296296297,0.8657407407407407,0.875,0.8865740740740741,0.8564814814814815,0.875,0.8888888888888888,-0.012602880658436177,-0.017129629629629717,-0.01620370370370372,0.0,-0.0023148148148147696,-0.0023148148148147696
KNN-7,LEARNING,rest_v_task,0.8912037037037037,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8773148148148148,0.8888888888888888,0.8819444444444444,0.8912037037037037,0.8888888888888888,-0.0038580246913580973,-0.006944444444444531,-0.0015432098765431057,0.0023148148148148806,0.0023148148148148806,0.0023148148148148806
KNN-8,LEARNING,rest_v_task,0.8912037037037037,0.8819444444444444,0.8888888888888888,0.8865740740740741,0.8634259259259259,0.8773148148148148,0.8888888888888888,0.875,0.8842592592592593,0.8888888888888888,-0.00694444444444442,-0.01111111111111096,-0.006172839506172867,0.0023148148148148806,0.0,0.0
KNN-9,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8842592592592593,0.8819444444444444,0.8888888888888888,-0.0030864197530863224,-0.004629629629629539,-0.0038580246913579863,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8819444444444444,0.8796296296296297,0.8888888888888888,-0.0036008230452674317,-0.005555555555555425,-0.005401234567901203,0.0,0.0,0.0
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
LDA,OSTEO,allpain_v_nopain,0.5,,0.75,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5131578947368421,0.6052631578947368,0.7368421052631579,-0.07565789473684204,-0.07105263157894737,-0.11842105263157898,0.013157894736842146,0.0,0.0
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.75,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.0,-0.0026315789473684292,0.0,0.013157894736842146,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.6052631578947368,,0.6973684210526315,0.631578947368421,0.6447368421052632,0.6052631578947368,0.4078947368421053,0.6052631578947368,0.5526315789473685,0.7368421052631579,-0.14309210526315785,-0.17368421052631577,-0.21491228070175428,-0.03947368421052633,-0.09210526315789469,-0.13157894736842102
KNN-2,OSTEO,allpain_v_nopain,0.6447368421052632,,0.7368421052631579,0.6710526315789473,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.6973684210526315,0.6578947368421053,0.7368421052631579,-0.03618421052631571,-0.02631578947368418,-0.03947368421052633,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.5921052631578947,,0.7368421052631579,0.6578947368421053,0.7368421052631579,0.7236842105263158,0.6842105263157895,0.6973684210526315,0.631578947368421,0.7368421052631579,-0.05427631578947356,-0.042105263157894646,-0.06578947368421051,0.0,0.0,-0.03947368421052633
KNN-4,OSTEO,allpain_v_nopain,0.6710526315789473,,0.7236842105263158,0.6710526315789473,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.6973684210526315,0.7368421052631579,-0.02631578947368418,-0.013157894736842146,-0.021929824561403577,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_nopain,0.5921052631578947,,0.6842105263157895,0.6447368421052632,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.6578947368421053,0.6710526315789473,0.7368421052631579,-0.05592105263157887,-0.03157894736842104,-0.04824561403508765,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_nopain,0.6973684210526315,,0.7236842105263158,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.7236842105263158,0.7368421052631579,-0.016447368421052655,-0.007894736842105288,-0.013157894736842035,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_nopain,0.631578947368421,,0.7763157894736842,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.6710526315789473,0.7368421052631579,-0.024671052631579093,-0.018421052631579005,-0.030701754385964897,0.03947368421052633,0.0,0.0
KNN-8,OSTEO,allpain_v_nopain,0.6973684210526315,,0.75,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.6973684210526315,0.7368421052631579,-0.011513157894736836,-0.010526315789473717,-0.01754385964912275,0.013157894736842146,0.0,0.0
KNN-9,OSTEO,allpain_v_nopain,0.6710526315789473,,0.7368421052631579,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6973684210526315,0.6710526315789473,0.7368421052631579,-0.02467105263157887,-0.021052631578947434,-0.03508771929824561,0.0,0.0,0.0
KNN-10,OSTEO,allpain_v_nopain,0.7105263157894737,,0.7631578947368421,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.7368421052631579,-0.006578947368421129,-0.010526315789473717,-0.01754385964912275,0.026315789473684292,0.0,0.0
KNN-20,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_duloxetine,0.7333333333333333,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7333333333333333,0.7466666666666667,-0.0050000000000000044,-0.005333333333333301,-0.008888888888888946,0.0,0.0,0.0
LDA,OSTEO,allpain_v_duloxetine,0.44,,0.7466666666666667,0.5466666666666666,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.48,0.4933333333333334,0.7466666666666667,-0.13000000000000012,-0.10666666666666669,-0.17333333333333334,0.0,0.0,0.0
SVM,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7333333333333333,0.7333333333333333,0.7466666666666667,-0.0050000000000000044,-0.008000000000000007,-0.008888888888888946,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_duloxetine,0.4266666666666667,,0.4666666666666667,0.4133333333333333,0.5333333333333333,0.44,0.48,0.36,0.4133333333333333,0.7466666666666667,-0.30500000000000005,-0.3013333333333334,-0.32888888888888895,-0.21333333333333337,-0.21333333333333337,-0.2666666666666667
KNN-2,OSTEO,allpain_v_duloxetine,0.7333333333333333,,0.72,0.68,0.7333333333333333,0.7333333333333333,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.7466666666666667,-0.03166666666666662,-0.029333333333333433,-0.040000000000000036,-0.01333333333333342,-0.01333333333333342,-0.040000000000000036
KNN-3,OSTEO,allpain_v_duloxetine,0.68,,0.6533333333333333,0.5466666666666666,0.7333333333333333,0.7066666666666667,0.7066666666666667,0.5733333333333334,0.6133333333333333,0.7466666666666667,-0.09500000000000008,-0.08000000000000007,-0.11555555555555563,-0.01333333333333342,-0.01333333333333342,-0.040000000000000036
KNN-4,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.72,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7466666666666667,-0.00666666666666671,-0.008000000000000007,-0.004444444444444473,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_duloxetine,0.72,,0.7466666666666667,0.7066666666666667,0.7466666666666667,0.7066666666666667,0.7333333333333333,0.7066666666666667,0.68,0.7466666666666667,-0.028333333333333433,-0.03200000000000003,-0.040000000000000036,0.0,0.0,-0.01333333333333342
KNN-6,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,-0.0016666666666665941,-0.002666666666666706,0.0,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7333333333333333,0.72,0.7466666666666667,-0.00666666666666671,-0.010666666666666713,-0.013333333333333308,0.0,0.0,0.0
KNN-8,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
KNN-9,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
KNN-10,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
KNN-20,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_pain,0.5376344086021505,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,-0.008064516129032251,0.0,0.0,0.0,0.0,0.0
LDA,OSTEO,allpain_v_pain,0.1720430107526882,,0.6021505376344086,0.3118279569892473,0.6021505376344086,0.5376344086021505,0.6021505376344086,0.4731182795698925,0.5698924731182796,0.6021505376344086,-0.11827956989247318,-0.04516129032258076,-0.05376344086021512,0.0,0.0,0.0
