Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7708333333333334,0.1111111111111111,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8402777777777778,0.8888888888888888,-0.10725308641975306,-0.011574074074073959,-0.019290123456790043,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8078703703703703,0.8240740740740741,0.7824074074074074,0.7962962962962963,0.5856481481481481,0.7800925925925926,0.8888888888888888,0.8148148148148148,0.8240740740740741,0.8888888888888888,-0.09953703703703698,-0.11018518518518516,-0.04629629629629628,0.0,0.0,0.0
KNN-2,LEARNING,rest_v_task,0.7384259259259259,0.75,0.7152777777777778,0.7060185185185185,0.5486111111111112,0.7314814814814815,0.8888888888888888,0.7152777777777778,0.7615740740740741,0.8888888888888888,-0.16049382716049376,-0.1597222222222222,-0.10030864197530864,0.0,0.0,0.0
KNN-3,LEARNING,rest_v_task,0.8703703703703703,0.8726851851851852,0.8587962962962963,0.8634259259259259,0.8171296296296297,0.8032407407407407,0.8888888888888888,0.8657407407407407,0.8703703703703703,0.8888888888888888,-0.032150205761316886,-0.03981481481481475,-0.01388888888888884,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8564814814814815,0.8518518518518519,0.8425925925925926,0.8495370370370371,0.8101851851851852,0.7777777777777778,0.8888888888888888,0.8495370370370371,0.8634259259259259,0.8888888888888888,-0.045524691358024505,-0.05092592592592582,-0.021604938271604812,0.0,0.0,0.0
KNN-5,LEARNING,rest_v_task,0.8912037037037037,0.8819444444444444,0.8888888888888888,0.8796296296296297,0.8680555555555556,0.8796296296296297,0.8888888888888888,0.8796296296296297,0.8912037037037037,0.8888888888888888,-0.005658436213991647,-0.007407407407407307,-0.0023148148148147696,0.0023148148148148806,0.0023148148148148806,0.0023148148148148806
KNN-6,LEARNING,rest_v_task,0.8888888888888888,0.8703703703703703,0.8842592592592593,0.8796296296296297,0.8657407407407407,0.875,0.1111111111111111,0.8773148148148148,0.8819444444444444,0.8888888888888888,-0.09619341563785999,-0.16666666666666674,-0.26543209876543206,0.0,-0.00694444444444442,-0.00694444444444442
KNN-7,LEARNING,rest_v_task,0.8912037037037037,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8773148148148148,0.1111111111111111,0.8865740740740741,0.8912037037037037,0.8888888888888888,-0.08976337448559668,-0.1615740740740741,-0.2592592592592592,0.0023148148148148806,0.0023148148148148806,0.0023148148148148806
KNN-8,LEARNING,rest_v_task,0.8912037037037037,0.8865740740740741,0.8888888888888888,0.8865740740740741,0.8634259259259259,0.8773148148148148,0.1111111111111111,0.8842592592592593,0.8958333333333334,0.8888888888888888,-0.09053497942386834,-0.16249999999999987,-0.25848765432098764,0.006944444444444531,0.006944444444444531,0.006944444444444531
KNN-9,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.1111111111111111,0.8888888888888888,0.8958333333333334,0.8888888888888888,-0.08744855967078191,-0.15648148148148144,-0.2569444444444443,0.006944444444444531,0.006944444444444531,0.006944444444444531
KNN-10,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.1111111111111111,0.8888888888888888,0.8935185185185185,0.8888888888888888,-0.08770576131687235,-0.15694444444444433,-0.257716049382716,0.00462962962962965,0.00462962962962965,0.00462962962962965
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8865740740740741,0.8888888888888888,-0.08667695473251025,-0.15601851851851856,-0.26003086419753085,0.0,0.0,0.0
