Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7986111111111112,0.8287037037037037,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8796296296296297,0.8379629629629629,0.8888888888888888,-0.023919753086419693,-0.012037037037036957,-0.020061728395061706,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.7916666666666666,0.7916666666666666,0.8101851851851852,0.8125,0.8240740740740741,0.7893518518518519,0.8796296296296297,0.8055555555555556,0.7800925925925926,0.8888888888888888,-0.07947530864197527,-0.07314814814814796,-0.06712962962962965,-0.00925925925925919,-0.00925925925925919,-0.00925925925925919
KNN-2,LEARNING,rest_v_task,0.7361111111111112,0.7060185185185185,0.7546296296296297,0.7314814814814815,0.7986111111111112,0.6504629629629629,0.8726851851851852,0.75,0.7013888888888888,0.8888888888888888,-0.14429012345679004,-0.1342592592592593,-0.11419753086419748,-0.01620370370370361,-0.01620370370370361,-0.01620370370370361
KNN-3,LEARNING,rest_v_task,0.8634259259259259,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8796296296296297,0.8796296296296297,0.875,0.8564814814814815,0.8379629629629629,0.8888888888888888,-0.021862139917695478,-0.02314814814814803,-0.03240740740740744,-0.00925925925925919,-0.00925925925925919,-0.01388888888888884
KNN-4,LEARNING,rest_v_task,0.8472222222222222,0.8379629629629629,0.8402777777777778,0.8518518518518519,0.7962962962962963,0.8865740740740741,0.8726851851851852,0.8333333333333334,0.8333333333333334,0.8888888888888888,-0.04449588477366251,-0.0444444444444444,-0.04243827160493818,-0.0023148148148147696,-0.0023148148148147696,-0.01620370370370361
KNN-5,LEARNING,rest_v_task,0.8865740740740741,0.8819444444444444,0.8865740740740741,0.8819444444444444,0.8773148148148148,0.8935185185185185,0.8773148148148148,0.8819444444444444,0.875,0.8888888888888888,-0.0064300411522633105,-0.007870370370370305,-0.010802469135802517,0.00462962962962965,0.00462962962962965,-0.00694444444444442
KNN-6,LEARNING,rest_v_task,0.8773148148148148,0.8680555555555556,0.8796296296296297,0.8726851851851852,0.8009259259259259,0.8796296296296297,0.1527777777777778,0.8796296296296297,0.8657407407407407,0.8888888888888888,-0.10262345679012341,-0.17314814814814805,-0.25617283950617276,-0.00925925925925919,-0.00925925925925919,-0.00925925925925919
KNN-7,LEARNING,rest_v_task,0.8865740740740741,0.8842592592592593,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.875,0.07407407407407407,0.8888888888888888,0.8819444444444444,0.8888888888888888,-0.09413580246913567,-0.16712962962962963,-0.2739197530864197,0.0,0.0,0.0
KNN-8,LEARNING,rest_v_task,0.8888888888888888,0.8819444444444444,0.8819444444444444,0.8819444444444444,0.8657407407407407,0.8726851851851852,0.06712962962962964,0.8865740740740741,0.8773148148148148,0.8888888888888888,-0.09953703703703698,-0.17499999999999993,-0.27854938271604934,0.0,-0.0023148148148147696,-0.0023148148148147696
KNN-9,LEARNING,rest_v_task,0.8842592592592593,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.8842592592592593,0.8888888888888888,0.8842592592592593,0.8888888888888888,-0.0023148148148148806,-0.002777777777777768,-0.0030864197530863224,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8842592592592593,0.8865740740740741,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.8842592592592593,0.8888888888888888,0.8796296296296297,0.8888888888888888,-0.003343621399176766,-0.0037037037037037646,-0.00462962962962965,0.0,0.0,0.0
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_nopain,0.6710526315789473,,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7631578947368421,0.7368421052631579,0.7368421052631579,-0.006578947368421018,0.0052631578947368585,0.00877192982456143,0.026315789473684292,0.026315789473684292,0.026315789473684292
LDA,OSTEO,allpain_v_nopain,0.5263157894736842,,0.7368421052631579,0.618421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.42105263157894735,0.7368421052631579,-0.08223684210526316,-0.06578947368421051,-0.10964912280701755,0.0,0.0,0.0
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.003289473684210509,-0.0052631578947367474,0.0,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.5789473684210527,,0.6052631578947368,0.6578947368421053,0.42105263157894735,0.6052631578947368,0.27631578947368424,0.7236842105263158,0.5921052631578947,0.7368421052631579,-0.17927631578947367,-0.2131578947368421,-0.20614035087719296,-0.013157894736842035,-0.013157894736842035,-0.013157894736842035
KNN-2,OSTEO,allpain_v_nopain,0.6710526315789473,,0.6842105263157895,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7236842105263158,0.6447368421052632,0.7368421052631579,-0.03289473684210531,-0.02631578947368418,-0.03508771929824561,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.631578947368421,,0.5657894736842105,0.7631578947368421,0.75,0.7236842105263158,0.7368421052631579,0.6710526315789473,0.5789473684210527,0.7368421052631579,-0.05921052631578949,-0.044736842105263075,-0.07456140350877183,0.026315789473684292,0.013157894736842146,0.0
KNN-4,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6842105263157895,0.7894736842105263,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.75,0.7236842105263158,0.7368421052631579,-0.008223684210526216,-0.0026315789473684292,1.1102230246251565e-16,0.052631578947368474,0.013157894736842146,0.013157894736842146
KNN-5,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6710526315789473,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.7105263157894737,0.7368421052631579,-0.024671052631578982,-0.013157894736842146,-0.01754385964912275,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_nopain,0.6710526315789473,,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7631578947368421,0.7105263157894737,0.7368421052631579,-0.014802631578947345,0.0,0.0,0.026315789473684292,0.026315789473684292,0.026315789473684292
KNN-7,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.75,0.6710526315789473,0.7368421052631579,-0.018092105263157854,-0.010526315789473717,-0.01754385964912275,0.013157894736842146,0.013157894736842146,0.013157894736842146
