Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8425925925925926,0.8333333333333334,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.011574074074073959,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.8009259259259259,0.7777777777777778,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,1.0,0.8796296296296297,0.8194444444444444,0.8888888888888888,-0.019032921810699488,0.0064814814814815325,0.010802469135802628,0.11111111111111116,0.11111111111111116,0.11111111111111116
SVM,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8148148148148148,0.7754629629629629,0.8101851851851852,0.8032407407407407,0.8240740740740741,0.7893518518518519,0.8888888888888888,0.8125,0.7962962962962963,0.8888888888888888,-0.07613168724279828,-0.06666666666666665,-0.05632716049382713,0.0,0.0,0.0
KNN-2,LEARNING,rest_v_task,0.7222222222222222,0.7013888888888888,0.7546296296296297,0.7175925925925926,0.7986111111111112,0.6504629629629629,0.8888888888888888,0.7268518518518519,0.7106481481481481,0.8888888888888888,-0.14763374485596703,-0.1337962962962963,-0.11342592592592593,0.0,0.0,0.0
KNN-3,LEARNING,rest_v_task,0.8726851851851852,0.8564814814814815,0.8703703703703703,0.875,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8472222222222222,0.8541666666666666,0.8888888888888888,-0.019547325102880597,-0.018981481481481377,-0.02546296296296291,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8425925925925926,0.8472222222222222,0.8402777777777778,0.8425925925925926,0.7962962962962963,0.8865740740740741,0.8888888888888888,0.8356481481481481,0.8356481481481481,0.8888888888888888,-0.04269547325102874,-0.040277777777777746,-0.03549382716049376,0.0,0.0,0.0
KNN-5,LEARNING,rest_v_task,0.8888888888888888,0.8819444444444444,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.8935185185185185,0.8888888888888888,0.8796296296296297,0.875,0.8888888888888888,-0.0043724279835390956,-0.006018518518518423,-0.007716049382715973,0.00462962962962965,0.00462962962962965,0.0
KNN-6,LEARNING,rest_v_task,0.8865740740740741,0.8680555555555556,0.8796296296296297,0.8842592592592593,0.8009259259259259,0.8796296296296297,0.1111111111111111,0.8611111111111112,0.8703703703703703,0.8888888888888888,-0.10648148148148151,-0.18425925925925923,-0.27469135802469136,-0.0023148148148147696,-0.00925925925925919,-0.01851851851851849
KNN-7,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.875,0.1111111111111111,0.8865740740740741,0.8842592592592593,0.8888888888888888,-0.08950617283950613,-0.1597222222222222,-0.26157407407407407,0.0,0.0,-0.0023148148148147696
KNN-8,LEARNING,rest_v_task,0.8865740740740741,0.8819444444444444,0.8819444444444444,0.8842592592592593,0.8657407407407407,0.8726851851851852,0.1111111111111111,0.8842592592592593,0.8819444444444444,0.8888888888888888,-0.09439300411522622,-0.16574074074074052,-0.2631172839506172,-0.0023148148148147696,-0.004629629629629539,-0.004629629629629539
