Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,PARKINSONS,control_v_parkinsons,0.6,0.505,0.51,0.515,0.3,0.0,0.0,0.475,0.47,0.5
LDA,PARKINSONS,control_v_parkinsons,0.6,0.58,0.515,0.565,0.3,0.0,0.0,0.49,0.475,0.5
SVM,PARKINSONS,control_v_parkinsons,0.57,0.445,0.52,0.635,0.555,0.52,0.0,0.5,0.405,0.5
KNN-1,PARKINSONS,control_v_parkinsons,0.57,0.555,0.44,0.57,0.27,0.475,0.5,0.475,0.5,0.5
KNN-2,PARKINSONS,control_v_parkinsons,0.635,0.49,0.445,0.6,0.405,0.49,0.5,0.46,0.49,0.5
KNN-3,PARKINSONS,control_v_parkinsons,0.61,0.61,0.41,0.59,0.5,0.55,0.5,0.465,0.465,0.5
KNN-4,PARKINSONS,control_v_parkinsons,0.655,0.57,0.425,0.605,0.41,0.475,0.5,0.47,0.495,0.5
KNN-5,PARKINSONS,control_v_parkinsons,0.625,0.55,0.425,0.61,0.495,0.405,0.5,0.44,0.49,0.5
KNN-6,PARKINSONS,control_v_parkinsons,0.595,0.545,0.415,0.575,0.465,0.435,0.5,0.5,0.49,0.5
KNN-7,PARKINSONS,control_v_parkinsons,0.605,0.57,0.435,0.625,0.495,0.41,0.5,0.48,0.47,0.5
KNN-8,PARKINSONS,control_v_parkinsons,0.61,0.585,0.44,0.57,0.47,0.445,0.5,0.47,0.485,0.5
KNN-9,PARKINSONS,control_v_parkinsons,0.6,0.63,0.425,0.595,0.49,0.445,0.5,0.505,0.465,0.5
KNN-10,PARKINSONS,control_v_parkinsons,0.585,0.64,0.475,0.6,0.47,0.47,0.5,0.49,0.5,0.5
KNN-20,PARKINSONS,control_v_parkinsons,0.555,0.56,0.45,0.56,0.5,0.495,0.5,0.46,0.475,0.5
