Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,PARKINSONS,control_v_parkinsons,0.605,0.55,0.5,0.585,0.0,0.0,0.0,0.27,0.495,0.5
LDA,PARKINSONS,control_v_parkinsons,0.595,0.58,0.515,0.565,0.3,0.0,0.5,0.49,0.475,0.5
SVM,PARKINSONS,control_v_parkinsons,0.56,0.0,0.52,0.575,0.555,0.52,0.0,0.495,0.515,0.5
KNN-1,PARKINSONS,control_v_parkinsons,0.585,0.635,0.44,0.57,0.27,0.475,0.5,0.415,0.56,0.5
KNN-2,PARKINSONS,control_v_parkinsons,0.52,0.565,0.445,0.525,0.405,0.49,0.5,0.46,0.52,0.5
KNN-3,PARKINSONS,control_v_parkinsons,0.525,0.56,0.41,0.505,0.5,0.55,0.5,0.44,0.57,0.5
KNN-4,PARKINSONS,control_v_parkinsons,0.56,0.57,0.425,0.56,0.41,0.475,0.5,0.47,0.525,0.5
KNN-5,PARKINSONS,control_v_parkinsons,0.54,0.58,0.425,0.535,0.495,0.405,0.5,0.475,0.555,0.5
KNN-6,PARKINSONS,control_v_parkinsons,0.575,0.585,0.415,0.57,0.465,0.435,0.5,0.51,0.53,0.5
KNN-7,PARKINSONS,control_v_parkinsons,0.53,0.6,0.435,0.52,0.495,0.41,0.5,0.485,0.545,0.5
KNN-8,PARKINSONS,control_v_parkinsons,0.57,0.6,0.44,0.55,0.47,0.445,0.5,0.49,0.555,0.5
KNN-9,PARKINSONS,control_v_parkinsons,0.54,0.6,0.425,0.53,0.49,0.445,0.5,0.46,0.515,0.5
KNN-10,PARKINSONS,control_v_parkinsons,0.575,0.605,0.475,0.57,0.47,0.47,0.5,0.445,0.5,0.5
KNN-20,PARKINSONS,control_v_parkinsons,0.585,0.605,0.45,0.585,0.5,0.495,0.5,0.485,0.505,0.5
