,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PARKINSONS,control_v_parkinsons,0.6,0.51,0.515,0.3,0.0,0.525,0.54,0.54,0.5
LDA,PARKINSONS,control_v_parkinsons,0.6,0.515,0.565,0.3,0.0,0.525,0.545,0.54,0.5
SVM,PARKINSONS,control_v_parkinsons,0.57,0.52,0.635,0.555,0.52,0.475,0.54,0.55,0.5
KNN-1,PARKINSONS,control_v_parkinsons,0.57,0.44,0.57,0.27,0.475,0.44,0.51,0.5,0.5
KNN-2,PARKINSONS,control_v_parkinsons,0.635,0.445,0.6,0.405,0.49,0.4,0.525,0.52,0.5
KNN-3,PARKINSONS,control_v_parkinsons,0.61,0.41,0.59,0.5,0.55,0.46,0.57,0.535,0.5
KNN-4,PARKINSONS,control_v_parkinsons,0.655,0.425,0.605,0.41,0.475,0.485,0.555,0.545,0.5
KNN-5,PARKINSONS,control_v_parkinsons,0.625,0.425,0.61,0.495,0.405,0.515,0.62,0.51,0.5
KNN-6,PARKINSONS,control_v_parkinsons,0.595,0.415,0.575,0.465,0.435,0.455,0.59,0.48,0.5
KNN-7,PARKINSONS,control_v_parkinsons,0.605,0.435,0.625,0.495,0.41,0.435,0.62,0.495,0.5
KNN-8,PARKINSONS,control_v_parkinsons,0.61,0.44,0.57,0.47,0.445,0.435,0.585,0.455,0.5
KNN-9,PARKINSONS,control_v_parkinsons,0.6,0.425,0.595,0.49,0.445,0.365,0.57,0.475,0.5
KNN-10,PARKINSONS,control_v_parkinsons,0.585,0.475,0.6,0.47,0.47,0.405,0.555,0.485,0.5
KNN-20,PARKINSONS,control_v_parkinsons,0.555,0.45,0.56,0.5,0.495,0.485,0.53,0.535,0.5
