Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9935483870967742,0.8,0.8,0.8,0.8,0.8,0.8
LDA,REFLECT_INTERLEAVED,rest_v_task,0.49032258064516127,,1.0,1.0,0.7870967741935484,0.8064516129032258,0.8,0.7290322580645161,0.632258064516129,0.8
SVM,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.8,0.8064516129032258,0.8,0.8,0.8,0.8
KNN-1,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.967741935483871,0.9612903225806452,0.8,0.6838709677419355,0.7032258064516129,0.8
KNN-2,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.967741935483871,0.9483870967741935,0.8,0.6838709677419355,0.6064516129032258,0.8
KNN-3,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.9419354838709677,0.9548387096774194,0.8,0.7677419354838709,0.7612903225806451,0.8
KNN-4,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.9032258064516129,0.9354838709677419,0.2129032258064516,0.7354838709677419,0.7032258064516129,0.8
KNN-5,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,1.0,0.9483870967741935,0.9354838709677419,0.2129032258064516,0.7483870967741936,0.8064516129032258,0.8
KNN-6,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9870967741935484,0.9483870967741935,0.9354838709677419,0.2,0.7677419354838709,0.7935483870967742,0.8
KNN-7,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9870967741935484,0.9161290322580645,0.8709677419354839,0.2,0.7870967741935484,0.8,0.8
KNN-8,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9870967741935484,0.9161290322580645,0.8903225806451613,0.2,0.7677419354838709,0.8129032258064516,0.8
KNN-9,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9870967741935484,0.9161290322580645,0.8580645161290322,0.2,0.7806451612903226,0.8129032258064516,0.8
KNN-10,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9806451612903225,0.9161290322580645,0.8580645161290322,0.2,0.7741935483870968,0.8258064516129032,0.8
KNN-20,REFLECT_INTERLEAVED,rest_v_task,1.0,,1.0,0.9806451612903225,0.9161290322580645,0.8,0.2,0.7870967741935484,0.8,0.8
