,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,allpain_v_duloxetine,0.733,0.747,0.747,0.747,0.747,0.747,0.72,0.733,0.747
LDA,OSTEO,allpain_v_duloxetine,0.373,0.747,0.56,0.747,0.747,0.747,0.68,0.507,0.747
SVM,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
KNN-1,OSTEO,allpain_v_duloxetine,0.4,0.413,0.4,0.493,0.467,0.293,0.387,0.387,0.747
KNN-2,OSTEO,allpain_v_duloxetine,0.693,0.707,0.68,0.72,0.693,0.747,0.707,0.653,0.747
KNN-3,OSTEO,allpain_v_duloxetine,0.587,0.573,0.613,0.693,0.693,0.747,0.64,0.533,0.747
KNN-4,OSTEO,allpain_v_duloxetine,0.747,0.747,0.733,0.747,0.747,0.747,0.747,0.747,0.747
KNN-5,OSTEO,allpain_v_duloxetine,0.72,0.68,0.707,0.747,0.747,0.747,0.68,0.707,0.747
KNN-6,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
KNN-7,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.733,0.733,0.747
KNN-8,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
KNN-9,OSTEO,allpain_v_duloxetine,0.747,0.733,0.747,0.747,0.747,0.747,0.747,0.747,0.747
KNN-10,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
KNN-20,OSTEO,allpain_v_duloxetine,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747
