,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,allpain_v_pain,0.559,0.602,0.591,0.602,0.602,0.591,0.602,0.602,0.602
LDA,OSTEO,allpain_v_pain,0.129,0.602,0.333,0.602,0.602,0.581,0.505,0.538,0.602
SVM,OSTEO,allpain_v_pain,0.602,0.602,0.602,0.602,0.602,0.57,0.602,0.602,0.602
KNN-1,OSTEO,allpain_v_pain,0.183,0.172,0.194,0.462,0.548,0.366,0.204,0.161,0.602
KNN-2,OSTEO,allpain_v_pain,0.527,0.538,0.495,0.581,0.602,0.581,0.473,0.473,0.602
KNN-3,OSTEO,allpain_v_pain,0.301,0.269,0.28,0.613,0.602,0.581,0.312,0.28,0.602
KNN-4,OSTEO,allpain_v_pain,0.527,0.548,0.527,0.591,0.602,0.581,0.484,0.484,0.602
KNN-5,OSTEO,allpain_v_pain,0.398,0.344,0.323,0.656,0.602,0.581,0.409,0.387,0.602
KNN-6,OSTEO,allpain_v_pain,0.548,0.516,0.527,0.613,0.602,0.602,0.505,0.57,0.602
KNN-7,OSTEO,allpain_v_pain,0.462,0.387,0.419,0.602,0.602,0.602,0.484,0.376,0.602
KNN-8,OSTEO,allpain_v_pain,0.559,0.538,0.57,0.602,0.602,0.602,0.538,0.581,0.602
KNN-9,OSTEO,allpain_v_pain,0.527,0.462,0.484,0.591,0.602,0.602,0.516,0.473,0.602
KNN-10,OSTEO,allpain_v_pain,0.602,0.57,0.581,0.602,0.602,0.602,0.516,0.559,0.602
KNN-20,OSTEO,allpain_v_pain,0.602,0.602,0.602,0.602,0.602,0.602,0.548,0.591,0.602
