,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,duloxetine_v_nopain,0.667,0.231,0.667,0.41,0.205,0.0,0.718,0.667,0.513
LDA,OSTEO,duloxetine_v_nopain,0.513,0.154,0.641,0.641,0.205,,0.487,0.513,0.513
SVM,OSTEO,duloxetine_v_nopain,0.667,0.615,0.641,0.59,0.41,0.026,0.744,0.692,0.513
KNN-1,OSTEO,duloxetine_v_nopain,0.513,0.385,0.667,0.513,0.41,0.487,0.564,0.615,0.513
KNN-2,OSTEO,duloxetine_v_nopain,0.615,0.487,0.59,0.462,0.462,0.487,0.615,0.564,0.513
KNN-3,OSTEO,duloxetine_v_nopain,0.59,0.359,0.692,0.487,0.462,0.487,0.615,0.564,0.513
KNN-4,OSTEO,duloxetine_v_nopain,0.564,0.564,0.615,0.41,0.487,0.487,0.667,0.718,0.513
KNN-5,OSTEO,duloxetine_v_nopain,0.538,0.564,0.667,0.41,0.41,0.487,0.667,0.564,0.513
KNN-6,OSTEO,duloxetine_v_nopain,0.487,0.513,0.615,0.436,0.487,0.487,0.744,0.692,0.513
KNN-7,OSTEO,duloxetine_v_nopain,0.538,0.59,0.641,0.615,0.282,0.487,0.744,0.59,0.513
KNN-8,OSTEO,duloxetine_v_nopain,0.513,0.615,0.667,0.667,0.282,0.487,0.718,0.692,0.513
KNN-9,OSTEO,duloxetine_v_nopain,0.564,0.513,0.667,0.667,0.436,0.487,0.718,0.692,0.513
KNN-10,OSTEO,duloxetine_v_nopain,0.487,0.641,0.641,0.667,0.564,0.487,0.718,0.692,0.513
KNN-20,OSTEO,duloxetine_v_nopain,0.564,0.436,0.692,0.692,0.513,0.513,0.538,0.692,0.513
