Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_VIGILANCE_SES-2,high_v_low,0.5681818181818182,0.5227272727272727,0.0,0.5113636363636364,0.375,0.0,0.0,0.29545454545454547,0.2727272727272727,0.5
LDA,PSYCH_VIGILANCE_SES-2,high_v_low,0.4318181818181818,0.5,0.14772727272727273,0.5795454545454546,0.375,0.0,0.0,0.48863636363636365,0.5568181818181818,0.5
SVM,PSYCH_VIGILANCE_SES-2,high_v_low,0.6022727272727273,0.5795454545454546,0.625,0.4318181818181818,0.2159090909090909,0.5568181818181818,0.0,0.1590909090909091,0.23863636363636365,0.5
KNN-1,PSYCH_VIGILANCE_SES-2,high_v_low,0.6590909090909091,0.5795454545454546,0.5454545454545454,0.6136363636363636,0.4431818181818182,0.6022727272727273,0.5,0.45454545454545453,0.5681818181818182,0.5
KNN-2,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.5,0.6363636363636364,0.5909090909090909,0.4659090909090909,0.4659090909090909,0.5,0.4772727272727273,0.5227272727272727,0.5
KNN-3,PSYCH_VIGILANCE_SES-2,high_v_low,0.6363636363636364,0.5340909090909091,0.5909090909090909,0.5,0.4318181818181818,0.5113636363636364,0.5,0.4772727272727273,0.45454545454545453,0.5
KNN-4,PSYCH_VIGILANCE_SES-2,high_v_low,0.6363636363636364,0.5227272727272727,0.6363636363636364,0.48863636363636365,0.4431818181818182,0.5340909090909091,0.5,0.42045454545454547,0.4772727272727273,0.5
KNN-5,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.5568181818181818,0.5909090909090909,0.5568181818181818,0.45454545454545453,0.6136363636363636,0.5,0.45454545454545453,0.45454545454545453,0.5
KNN-6,PSYCH_VIGILANCE_SES-2,high_v_low,0.6022727272727273,0.5454545454545454,0.5795454545454546,0.5795454545454546,0.45454545454545453,0.5681818181818182,0.5,0.38636363636363635,0.4318181818181818,0.5
KNN-7,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.5340909090909091,0.5681818181818182,0.5681818181818182,0.42045454545454547,0.6022727272727273,0.5,0.4090909090909091,0.4431818181818182,0.5
KNN-8,PSYCH_VIGILANCE_SES-2,high_v_low,0.5795454545454546,0.48863636363636365,0.625,0.5909090909090909,0.375,0.5568181818181818,0.5,0.38636363636363635,0.32954545454545453,0.5
KNN-9,PSYCH_VIGILANCE_SES-2,high_v_low,0.5681818181818182,0.4772727272727273,0.5795454545454546,0.6136363636363636,0.4772727272727273,0.5454545454545454,0.5,0.45454545454545453,0.42045454545454547,0.5
KNN-10,PSYCH_VIGILANCE_SES-2,high_v_low,0.5227272727272727,0.4772727272727273,0.6136363636363636,0.5113636363636364,0.48863636363636365,0.5568181818181818,0.5,0.3977272727272727,0.375,0.5
KNN-20,PSYCH_VIGILANCE_SES-2,high_v_low,0.5568181818181818,0.5227272727272727,0.6363636363636364,0.4090909090909091,0.4772727272727273,0.6136363636363636,0.5,0.4090909090909091,0.3409090909090909,0.5
