,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_VIGILANCE_SES-2,high_v_low,0.568,0.0,0.511,0.375,0.0,0.489,0.239,0.0,0.5
LDA,PSYCH_VIGILANCE_SES-2,high_v_low,0.466,0.148,0.58,0.375,0.0,0.5,0.432,0.42,0.5
SVM,PSYCH_VIGILANCE_SES-2,high_v_low,0.602,0.625,0.432,0.216,0.557,0.523,0.42,0.568,0.5
KNN-1,PSYCH_VIGILANCE_SES-2,high_v_low,0.659,0.545,0.614,0.443,0.602,0.511,0.375,0.625,0.5
KNN-2,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.636,0.591,0.466,0.466,0.477,0.364,0.545,0.5
KNN-3,PSYCH_VIGILANCE_SES-2,high_v_low,0.636,0.591,0.5,0.432,0.511,0.511,0.409,0.568,0.5
KNN-4,PSYCH_VIGILANCE_SES-2,high_v_low,0.636,0.636,0.489,0.443,0.534,0.477,0.455,0.511,0.5
KNN-5,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.591,0.557,0.455,0.614,0.455,0.443,0.523,0.5
KNN-6,PSYCH_VIGILANCE_SES-2,high_v_low,0.602,0.58,0.58,0.455,0.568,0.489,0.477,0.511,0.5
KNN-7,PSYCH_VIGILANCE_SES-2,high_v_low,0.625,0.568,0.568,0.42,0.602,0.511,0.455,0.545,0.5
KNN-8,PSYCH_VIGILANCE_SES-2,high_v_low,0.58,0.625,0.591,0.375,0.557,0.489,0.466,0.614,0.5
KNN-9,PSYCH_VIGILANCE_SES-2,high_v_low,0.568,0.58,0.614,0.477,0.545,0.466,0.477,0.614,0.5
KNN-10,PSYCH_VIGILANCE_SES-2,high_v_low,0.523,0.614,0.511,0.489,0.557,0.42,0.466,0.636,0.5
KNN-20,PSYCH_VIGILANCE_SES-2,high_v_low,0.557,0.636,0.409,0.477,0.614,0.455,0.409,0.568,0.5
