,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.557,0.545,0.511,0.545,0.545,0.545,0.455,0.477,0.545
LDA,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.534,0.545,0.523,0.523,0.545,0.545,0.511,0.455,0.545
SVM,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.511,0.58,0.477,0.273,0.545,0.239,0.42,0.511,0.545
KNN-1,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.636,0.466,0.568,0.42,0.545,0.5,0.534,0.545,0.545
KNN-2,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.591,0.534,0.523,0.545,0.477,0.489,0.58,0.58,0.545
KNN-3,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.568,0.557,0.5,0.511,0.455,0.511,0.568,0.534,0.545
KNN-4,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.636,0.466,0.534,0.545,0.523,0.523,0.648,0.455,0.545
KNN-5,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.614,0.511,0.466,0.534,0.432,0.466,0.545,0.42,0.545
KNN-6,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.591,0.534,0.455,0.545,0.511,0.523,0.614,0.398,0.545
KNN-7,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.614,0.511,0.455,0.545,0.523,0.511,0.58,0.443,0.545
KNN-8,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.58,0.477,0.455,0.545,0.614,0.534,0.58,0.432,0.545
KNN-9,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.5,0.466,0.466,0.545,0.477,0.523,0.534,0.443,0.545
KNN-10,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.523,0.443,0.477,0.545,0.557,0.523,0.534,0.455,0.545
KNN-20,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.455,0.489,0.489,0.295,0.625,0.511,0.42,0.5,0.545
