,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.636,0.682
LDA,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.761,0.682,0.773,0.682,0.682,0.636,0.5,0.466,0.682
SVM,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.682,0.682,0.67,0.682,0.705,0.716,0.682,0.682,0.682
KNN-1,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.682,0.682,0.602,0.568,0.636,0.318,0.625,0.545,0.682
KNN-2,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.693,0.727,0.602,0.557,0.67,0.693,0.705,0.648,0.682
KNN-3,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.648,0.761,0.545,0.602,0.648,0.409,0.636,0.602,0.682
KNN-4,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.727,0.727,0.636,0.602,0.648,0.716,0.659,0.682,0.682
KNN-5,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.693,0.75,0.591,0.545,0.648,0.682,0.614,0.67,0.682
KNN-6,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.716,0.75,0.67,0.659,0.648,0.693,0.648,0.693,0.682
KNN-7,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.693,0.716,0.648,0.659,0.625,0.693,0.614,0.648,0.682
KNN-8,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.75,0.739,0.716,0.67,0.67,0.659,0.67,0.682,0.682
KNN-9,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.739,0.705,0.727,0.636,0.67,0.614,0.648,0.648,0.682
KNN-10,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.75,0.636,0.716,0.659,0.67,0.591,0.682,0.648,0.682
KNN-20,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.682,0.625,0.648,0.682,0.682,0.568,0.682,0.682,0.682
