RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,44356.93819868637,32473.537052642667,4.716593545342267,,,20.69942357532531,4.1377902277538685e-23,,,3844.0,8.281906451123152e-18,1.0
β,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.9999899849128616,0.9999899849128616,-1.1972189997378646,,,-7.681145747868608,1.896469910653588e-10,,,,,
β,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.9999899849128616,0.9999899849128616,-1.1972189997378646,,,-7.681145747868608,1.896469910653588e-10,,,,,
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,18646.44940059667,21070.54751651335,-0.9870228874545812,,,-6.096770922627933,6.560612173511557e-08,,,796.0,4.783505945255174e-07,0.20707596253902186
β,OSTEO,allpain_v_pain,0.9999899849128616,0.9999899849128612,1.5682663866382711,,,6.0,6.949527597111371e-07,,,,,
β,OSTEO,nopain_v_pain,0.9999899849128616,0.9999899849128612,1.2192155209340498,,,6.0,6.949527597111371e-07,,,,,
β,OSTEO,duloxetine_v_pain,0.9999899849128616,0.9999899849128612,1.2080808993852437,,,6.0,6.949527597111371e-07,,,,,
β,PARKINSONS,control_pre_v_park_pre,0.9999899849128616,0.9999899849128616,0.6472713840795977,,,5.082536525319483,9.435667042851565e-07,,,,,
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.011562219523784384,0.015218021450163566,-1.0910058940543652,,,-5.133429758590923,6.441789214469177e-06,,,786.0,3.4056360714276394e-07,0.204474505723205
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.01747973939297632,0.022512143479885418,-0.8740025312879687,,,-4.67702771345164,2.186132235558014e-05,,,996.0,2.7846629545618012e-05,0.259105098855359
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.00021353964375753402,0.37058201058201057
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.06640189520624303,0.04230769230769231,0.8533660512522411,,,4.2280267490294285,7.082076282211323e-05,,,1355.5,0.0009118779617594788,0.7059895833333333
Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.02647714604236344,0.019648829431438124,0.6418950669807272,,,3.169281747290224,0.002249704922759332,,,1328.5,0.0018021807532277948,0.6919270833333333
