RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,43467.53223523339,35933.250865903065,2.995890891109533,,,13.625605938230589,5.750435100123722e-17,,,3772.0,1.300474820712967e-16,0.9812695109261186
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,17181.507755305098,19655.04027666044,-0.8631793357604666,,,-5.455142371632502,7.331980614662799e-07,,,841.0,1.3415566041470694e-06,0.2187825182101977
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.014619418401398375,0.01936729356084195,-0.8333799150654166,,,-4.666089171867414,2.037428271575093e-05,,,1025.0,4.8894304071075735e-05,0.2666493236212279
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.00021353964375753402,0.37058201058201057
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.20500083182518491,0.021128973358526947,0.7480876847810018,,,3.806584476252917,0.0003785859444450095,,,1415.0,1.1781048535104453e-05,0.7369791666666666
β,REFLECT_SUMMED,rest_v_task,0.2700692784502295,0.009475491726559348,1.2675774604369818,,,3.3795602724368874,0.0019928800280342588,,,2659.0,7.280270439275178e-09,0.6917273673257024
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.027243589743589744,0.0205685618729097,0.5826541946637556,,,2.872650603691504,0.005337004367741335,,,1217.0,0.030367606877650624,0.6338541666666667
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.01420199567076712,0.01676052838626858,-0.6419676541412306,,,-2.6460239921551207,0.011754299606511488,,,1159.0,0.0006185289457219782,0.30150884495317376
Shifted Noise Ratio,LEARNING,rest_v_task,0.0739905498281787,0.08325279209621993,-0.40025546517044297,,,-2.499603122922872,0.015286405280058122,,,7139.0,0.010685174709466571,0.3873155381944444
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0034317089910775576,0.0025880988860822397,0.5256548202605252,,,2.4952152470109343,0.016442303479567943,,,2662.0,0.0006925526076636755,0.6925078043704475
Largest Eigenvalue,PSYCH_VIGILANCE_SES-1,high_v_low,117351.75748328274,102518.35724035508,0.3838756213520164,,,1.80191630172224,0.0751229608494107,,,1106.0,0.22273309169393407,0.5760416666666667
β,PARKINSONS,control_v_parkinsons,0.4663349315186578,0.3783487019948237,0.2180171167959628,,,1.5416138170116485,0.12476674550468855,,,5679.0,0.09311323974112852,0.5679
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.009711860046308208,0.011519881085098476,-0.34643928623047704,,,-1.5383641925345644,0.12882007771020193,,,787.0,0.19584483886258552,0.4204059829059829
β,OSTEO,allpain_v_duloxetine,0.006221779760226334,1.0000057490613316e-05,0.2369952607215927,,,1.5394074696322428,0.12943884948927092,,,560.5,0.3150830157103253,0.5267857142857143
β,OSTEO,duloxetine_v_pain,1.0000057490613316e-05,0.009411612580550085,-0.31197506981392736,,,-1.5494412831426214,0.13002311288806495,,,323.0,0.2143668429168497,0.4594594594594595
Noise Ratio,OSTEO,duloxetine_v_nopain,0.012810039121896757,0.010869565217391302,0.4796489260204261,,,1.5059577240915192,0.14081169673260385,,,247.0,0.10250112487927228,0.65
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,24794.12505716765,23492.953126646054,0.2066518552101796,,,1.461249281638986,0.14554175456685495,,,5596.0,0.14565871896767005,0.5596
Noise Ratio,OSTEO,allpain_v_nopain,0.012468575743639243,0.010869565217391302,0.37152385738536814,,,1.393907158488495,0.17290139850689756,,,678.5,0.1531926713496413,0.6058035714285714
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.022909698996655518,0.02699474438604873,-0.34668248868437546,,,-1.366748949700466,0.1790145665925854,,,680.5,0.15132068168129725,0.4050595238095238
Noise Ratio,LEARNING,rest_v_task,0.035975085910652925,0.03884772336769759,-0.1973634276961699,,,-1.3167728619138859,0.19291422130215075,,,8229.0,0.2228699210011983,0.4464518229166667
