Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7708333333333334,0.7523148148148148,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8425925925925926,0.8888888888888888,-0.036779835390946425,-0.012962962962962843,-0.021604938271604923,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8078703703703703,0.8148148148148148,0.7824074074074074,0.7962962962962963,0.5856481481481481,0.7800925925925926,0.8773148148148148,0.8148148148148148,0.7986111111111112,0.8888888888888888,-0.10468106995884774,-0.11759259259259258,-0.058641975308642014,-0.01157407407407407,-0.01157407407407407,-0.01157407407407407
KNN-2,LEARNING,rest_v_task,0.7384259259259259,0.7337962962962963,0.7152777777777778,0.7060185185185185,0.5486111111111112,0.7314814814814815,0.8726851851851852,0.7407407407407407,0.7152777777777778,0.8888888888888888,-0.16640946502057608,-0.16712962962962963,-0.11265432098765427,-0.01620370370370361,-0.01620370370370361,-0.01620370370370361
KNN-3,LEARNING,rest_v_task,0.8703703703703703,0.8819444444444444,0.8587962962962963,0.8634259259259259,0.8171296296296297,0.8032407407407407,0.8888888888888888,0.8472222222222222,0.8587962962962963,0.8888888888888888,-0.034465020576131655,-0.04583333333333328,-0.023919753086419693,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8564814814814815,0.8634259259259259,0.8425925925925926,0.8495370370370371,0.8101851851851852,0.7777777777777778,0.8796296296296297,0.8356481481481481,0.8379629629629629,0.8888888888888888,-0.04963991769547327,-0.06064814814814823,-0.03780864197530864,-0.00925925925925919,-0.00925925925925919,-0.00925925925925919
KNN-5,LEARNING,rest_v_task,0.8912037037037037,0.8865740740740741,0.8888888888888888,0.8796296296296297,0.8680555555555556,0.8796296296296297,0.8796296296296297,0.8819444444444444,0.8842592592592593,0.8888888888888888,-0.006687242798353865,-0.010185185185185075,-0.006944444444444531,0.0023148148148148806,-0.004629629629629539,-0.004629629629629539
KNN-6,LEARNING,rest_v_task,0.8888888888888888,0.8819444444444444,0.8842592592592593,0.8796296296296297,0.8657407407407407,0.875,0.16898148148148148,0.8773148148148148,0.875,0.8888888888888888,-0.08924897119341557,-0.15648148148148144,-0.24845679012345678,0.0,-0.01157407407407407,-0.01157407407407407
KNN-7,LEARNING,rest_v_task,0.8912037037037037,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8773148148148148,0.16898148148148148,0.8865740740740741,0.8865740740740741,0.8888888888888888,-0.08359053497942381,-0.1509259259259259,-0.24151234567901225,0.0023148148148148806,-0.0023148148148147696,-0.0023148148148147696
