Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8078703703703703,0.8101851851851852,0.8888888888888888,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.01851851851851838,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7708333333333334,0.5254629629629629,0.8888888888888888,0.8773148148148148,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8425925925925926,0.8888888888888888,-0.04758230452674894,0.012962962962963065,0.021604938271604923,0.11111111111111116,0.11111111111111116,0.11111111111111116
SVM,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8101851851851852,0.8171296296296297,0.7824074074074074,0.8148148148148148,0.5879629629629629,0.7800925925925926,0.8888888888888888,0.7962962962962963,0.7986111111111112,0.8888888888888888,-0.10262345679012341,-0.11851851851851847,-0.06095679012345678,0.0,0.0,0.0
KNN-2,LEARNING,rest_v_task,0.7245370370370371,0.75,0.7152777777777778,0.7199074074074074,0.5486111111111112,0.7314814814814815,0.8888888888888888,0.7337962962962963,0.7268518518518519,0.8888888888888888,-0.16229423868312753,-0.16296296296296287,-0.10570987654320974,0.0,0.0,0.0
KNN-3,LEARNING,rest_v_task,0.8680555555555556,0.875,0.8587962962962963,0.8657407407407407,0.8171296296296297,0.8032407407407407,0.8888888888888888,0.8495370370370371,0.8564814814814815,0.8888888888888888,-0.03523662551440321,-0.04583333333333328,-0.023919753086419693,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8541666666666666,0.8657407407407407,0.8425925925925926,0.8495370370370371,0.8101851851851852,0.7777777777777778,0.8888888888888888,0.8379629629629629,0.8310185185185185,0.8888888888888888,-0.04912551440329216,-0.05972222222222223,-0.03626543209876543,0.0,0.0,0.0
KNN-5,LEARNING,rest_v_task,0.8888888888888888,0.8819444444444444,0.8888888888888888,0.8865740740740741,0.8680555555555556,0.8796296296296297,0.8888888888888888,0.8773148148148148,0.8842592592592593,0.8888888888888888,-0.006172839506172756,-0.0092592592592593,-0.005401234567901203,0.0,0.0,0.0
KNN-6,LEARNING,rest_v_task,0.8865740740740741,0.8819444444444444,0.8842592592592593,0.8865740740740741,0.8657407407407407,0.875,0.1111111111111111,0.8773148148148148,0.8703703703703703,0.8888888888888888,-0.09567901234567888,-0.1689814814814815,-0.26929012345679004,-0.0023148148148147696,-0.01157407407407407,-0.01157407407407407
KNN-7,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8703703703703703,0.8773148148148148,0.1111111111111111,0.8865740740740741,0.8819444444444444,0.8888888888888888,-0.09079218106995879,-0.16342592592592586,-0.2623456790123456,0.0,-0.0023148148148147696,-0.0023148148148147696
KNN-8,LEARNING,rest_v_task,0.8865740740740741,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8634259259259259,0.8773148148148148,0.1111111111111111,0.8865740740740741,0.8796296296296297,0.8888888888888888,-0.09233539094650212,-0.16527777777777763,-0.2631172839506172,0.0,-0.0023148148148147696,-0.0023148148148147696
KNN-9,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8773148148148148,0.1111111111111111,0.8888888888888888,0.8865740740740741,0.8888888888888888,-0.0879629629629628,-0.15833333333333333,-0.26003086419753085,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8773148148148148,0.1111111111111111,0.8888888888888888,0.8865740740740741,0.8888888888888888,-0.08822016460905335,-0.15833333333333333,-0.26003086419753085,0.0,0.0,0.0
