Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8425925925925926,0.8055555555555556,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8796296296296297,0.8888888888888888,-0.015946502057613166,-0.0023148148148147696,-0.0038580246913579863,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.8009259259259259,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8773148148148148,0.8379629629629629,0.8888888888888888,-0.017232510288065828,-0.012499999999999956,-0.02083333333333337,0.0,0.0,0.0
SVM,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,-0.0004629629629628873,-0.0007716049382716639,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.8148148148148148,0.8217592592592593,0.8101851851851852,0.8032407407407407,0.8240740740740741,0.7893518518518519,0.8240740740740741,0.8009259259259259,0.7916666666666666,0.8888888888888888,-0.07998971193415638,-0.08287037037037037,-0.08333333333333337,-0.06481481481481477,-0.06481481481481477,-0.06481481481481477
KNN-2,LEARNING,rest_v_task,0.7222222222222222,0.7199074074074074,0.7546296296296297,0.7175925925925926,0.7986111111111112,0.6504629629629629,0.7893518518518519,0.7384259259259259,0.7152777777777778,0.8888888888888888,-0.154835390946502,-0.15046296296296302,-0.14120370370370372,-0.09027777777777768,-0.09027777777777768,-0.09953703703703698
KNN-3,LEARNING,rest_v_task,0.8726851851851852,0.8726851851851852,0.8703703703703703,0.875,0.8796296296296297,0.8796296296296297,0.8703703703703703,0.8634259259259259,0.8564814814814815,0.8888888888888888,-0.017746913580246826,-0.018981481481481377,-0.02546296296296291,-0.00925925925925919,-0.00925925925925919,-0.01851851851851849
KNN-4,LEARNING,rest_v_task,0.8425925925925926,0.8472222222222222,0.8402777777777778,0.8425925925925926,0.7962962962962963,0.8865740740740741,0.8425925925925926,0.8518518518518519,0.8356481481481481,0.8888888888888888,-0.046039094650205725,-0.04629629629629628,-0.045524691358024616,-0.0023148148148147696,-0.0023148148148147696,-0.03703703703703698
KNN-5,LEARNING,rest_v_task,0.8888888888888888,0.8842592592592593,0.8865740740740741,0.8888888888888888,0.8773148148148148,0.8935185185185185,0.8819444444444444,0.8819444444444444,0.8842592592592593,0.8888888888888888,-0.0036008230452674317,-0.0050925925925924265,-0.006172839506172867,0.00462962962962965,0.00462962962962965,-0.004629629629629539
KNN-6,LEARNING,rest_v_task,0.8865740740740741,0.8773148148148148,0.8796296296296297,0.8842592592592593,0.8009259259259259,0.8796296296296297,0.6736111111111112,0.8773148148148148,0.875,0.8888888888888888,-0.04063786008230441,-0.06759259259259243,-0.08024691358024683,-0.0023148148148147696,-0.00925925925925919,-0.01157407407407407
KNN-7,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.875,0.6828703703703703,0.8865740740740741,0.8888888888888888,0.8888888888888888,-0.02546296296296302,-0.04444444444444451,-0.06944444444444453,0.0,0.0,0.0
KNN-8,LEARNING,rest_v_task,0.8865740740740741,0.8819444444444444,0.8819444444444444,0.8842592592592593,0.8657407407407407,0.8726851851851852,0.6828703703703703,0.8819444444444444,0.8865740740740741,0.8888888888888888,-0.030606995884773447,-0.05092592592592582,-0.07175925925925919,-0.0023148148148147696,-0.0023148148148147696,-0.0023148148148147696
KNN-9,LEARNING,rest_v_task,0.8888888888888888,0.8842592592592593,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.6828703703703703,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.02417695473251036,-0.04212962962962963,-0.06867283950617287,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8888888888888888,0.8842592592592593,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.6828703703703703,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.02443415637860069,-0.04212962962962963,-0.06867283950617287,0.0,0.0,0.0
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6828703703703703,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.022890946502057585,-0.04120370370370374,-0.06867283950617287,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_nopain,0.5526315789473685,,0.7368421052631579,0.6052631578947368,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7105263157894737,0.5394736842105263,0.7368421052631579,-0.06743421052631571,-0.044736842105263186,-0.07456140350877194,0.0,0.0,0.0
LDA,OSTEO,allpain_v_nopain,0.4868421052631579,,0.7368421052631579,0.618421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6052631578947368,0.3815789473684211,0.7368421052631579,-0.10690789473684204,-0.09736842105263155,-0.16228070175438591,0.0,0.0,0.0
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.003289473684210509,-0.0052631578947367474,0.0,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.5789473684210527,,0.6052631578947368,0.5789473684210527,0.42105263157894735,0.6052631578947368,0.2631578947368421,0.5131578947368421,0.5789473684210527,0.7368421052631579,-0.2187499999999999,-0.2605263157894737,-0.28508771929824556,-0.13157894736842102,-0.13157894736842102,-0.1578947368421052
KNN-2,OSTEO,allpain_v_nopain,0.6447368421052632,,0.6842105263157895,0.6447368421052632,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.6710526315789473,0.7236842105263158,0.7368421052631579,-0.042763157894736725,-0.021052631578947323,-0.02631578947368407,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.6052631578947368,,0.5657894736842105,0.6052631578947368,0.75,0.7236842105263158,0.7368421052631579,0.631578947368421,0.6447368421052632,0.7368421052631579,-0.07894736842105265,-0.039473684210526216,-0.06578947368421051,0.013157894736842146,0.013157894736842146,0.0
KNN-4,OSTEO,allpain_v_nopain,0.6973684210526315,,0.6842105263157895,0.6973684210526315,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.6973684210526315,0.7368421052631579,0.7368421052631579,-0.023026315789473784,-0.010526315789473717,-0.013157894736842035,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_nopain,0.6710526315789473,,0.6710526315789473,0.6710526315789473,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.6710526315789473,0.6973684210526315,0.7368421052631579,-0.039473684210526216,-0.023684210526315863,-0.03508771929824561,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_nopain,0.7105263157894737,,0.6842105263157895,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.013157894736842146,0.0,0.0,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_nopain,0.6973684210526315,,0.6973684210526315,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.7368421052631579,-0.024671052631578982,-0.015789473684210575,-0.02631578947368407,0.0,0.0,0.0
KNN-8,OSTEO,allpain_v_nopain,0.7105263157894737,,0.6973684210526315,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.011513157894736836,0.0,0.0,0.0,0.0,0.0
KNN-9,OSTEO,allpain_v_nopain,0.7236842105263158,,0.7105263157894737,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.006578947368421129,0.0,0.0,0.0,0.0,0.0
