Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,LEARNING,rest_v_task,0.8888888888888888,0.8819444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0007716049382715529,1.1102230246251565e-16,0.0,0.0,0.0,0.0
LDA,LEARNING,rest_v_task,0.7986111111111112,0.8912037037037037,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8564814814814815,0.8425925925925926,0.8888888888888888,-0.0190329218106996,-0.015740740740740722,-0.026234567901234573,0.0023148148148148806,0.0,0.0
SVM,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0002572016460904436,1.1102230246251565e-16,0.0,0.0,0.0,0.0
KNN-1,LEARNING,rest_v_task,0.7916666666666666,0.8217592592592593,0.8101851851851852,0.8125,0.8240740740740741,0.7893518518518519,0.8888888888888888,0.8148148148148148,0.8009259259259259,0.8888888888888888,-0.0717592592592593,-0.06527777777777777,-0.05401234567901225,0.0,0.0,0.0
KNN-2,LEARNING,rest_v_task,0.7361111111111112,0.7476851851851852,0.7546296296296297,0.7314814814814815,0.7986111111111112,0.6504629629629629,0.8888888888888888,0.7361111111111112,0.7384259259259259,0.8888888888888888,-0.1352880658436214,-0.12638888888888888,-0.1010802469135802,0.0,0.0,0.0
KNN-3,LEARNING,rest_v_task,0.8634259259259259,0.8865740740740741,0.8703703703703703,0.8703703703703703,0.8796296296296297,0.8796296296296297,0.8888888888888888,0.8495370370370371,0.8449074074074074,0.8888888888888888,-0.01851851851851849,-0.020370370370370372,-0.02777777777777768,0.0,0.0,0.0
KNN-4,LEARNING,rest_v_task,0.8472222222222222,0.8773148148148148,0.8402777777777778,0.8518518518518519,0.7962962962962963,0.8865740740740741,0.8888888888888888,0.8078703703703703,0.8333333333333334,0.8888888888888888,-0.04115226337448563,-0.04629629629629628,-0.045524691358024616,0.0,0.0,0.0
KNN-5,LEARNING,rest_v_task,0.8865740740740741,0.8865740740740741,0.8865740740740741,0.8819444444444444,0.8773148148148148,0.8935185185185185,0.8888888888888888,0.8587962962962963,0.8842592592592593,0.8888888888888888,-0.006172839506172756,-0.008333333333333304,-0.011574074074073959,0.00462962962962965,0.00462962962962965,0.0
KNN-6,LEARNING,rest_v_task,0.8773148148148148,0.8842592592592593,0.8796296296296297,0.8726851851851852,0.8009259259259259,0.8796296296296297,0.1111111111111111,0.8518518518518519,0.8842592592592593,0.8888888888888888,-0.1064814814814814,-0.18333333333333335,-0.27314814814814803,-0.004629629629629539,-0.004629629629629539,-0.004629629629629539
KNN-7,LEARNING,rest_v_task,0.8865740740740741,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.875,0.1111111111111111,0.8865740740740741,0.8865740740740741,0.8888888888888888,-0.08924897119341557,-0.1592592592592592,-0.2608024691358025,0.0,0.0,-0.0023148148148147696
KNN-8,LEARNING,rest_v_task,0.8888888888888888,0.8865740740740741,0.8819444444444444,0.8819444444444444,0.8657407407407407,0.8726851851851852,0.1111111111111111,0.8865740740740741,0.8888888888888888,0.8888888888888888,-0.09284979423868311,-0.16388888888888886,-0.26003086419753085,0.0,0.0,0.0
KNN-9,LEARNING,rest_v_task,0.8842592592592593,0.8888888888888888,0.8865740740740741,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.08770576131687247,-0.15648148148148144,-0.2592592592592592,0.0,0.0,0.0
KNN-10,LEARNING,rest_v_task,0.8842592592592593,0.8888888888888888,0.8842592592592593,0.8888888888888888,0.8888888888888888,0.8842592592592593,0.1111111111111111,0.8865740740740741,0.8888888888888888,0.8888888888888888,-0.08822016460905335,-0.15694444444444433,-0.26003086419753085,0.0,0.0,0.0
KNN-20,LEARNING,rest_v_task,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.0864197530864198,-0.15555555555555556,-0.2592592592592592,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_nopain,0.6710526315789473,,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.009868421052631526,0.0,0.0,0.0,0.0,0.0
LDA,OSTEO,allpain_v_nopain,0.5263157894736842,,0.7368421052631579,0.618421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5131578947368421,0.4868421052631579,0.7368421052631579,-0.10032894736842113,-0.09473684210526312,-0.1578947368421052,0.0,0.0,0.0
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.003289473684210509,-0.0052631578947367474,0.0,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.5789473684210527,,0.6052631578947368,0.6578947368421053,0.42105263157894735,0.6052631578947368,0.2631578947368421,0.5526315789473685,0.4868421052631579,0.7368421052631579,-0.2154605263157895,-0.2710526315789473,-0.3026315789473683,-0.07894736842105254,-0.13157894736842102,-0.18421052631578938
KNN-2,OSTEO,allpain_v_nopain,0.6710526315789473,,0.6842105263157895,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7105263157894737,0.6578947368421053,0.7368421052631579,-0.03289473684210531,-0.02631578947368418,-0.03508771929824561,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.631578947368421,,0.5657894736842105,0.7631578947368421,0.75,0.7236842105263158,0.7368421052631579,0.618421052631579,0.6447368421052632,0.7368421052631579,-0.05756578947368418,-0.042105263157894535,-0.07017543859649122,0.026315789473684292,0.013157894736842146,0.0
KNN-4,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6842105263157895,0.7894736842105263,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.6578947368421053,0.7368421052631579,-0.02467105263157887,-0.02894736842105261,-0.04385964912280693,0.052631578947368474,0.0,0.0
KNN-5,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6710526315789473,0.7236842105263158,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.6052631578947368,0.6842105263157895,0.7368421052631579,-0.041118421052631526,-0.03947368421052633,-0.06140350877192979,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_nopain,0.6710526315789473,,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6973684210526315,0.7236842105263158,0.7368421052631579,-0.021381578947368363,-0.010526315789473717,-0.01754385964912275,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_nopain,0.6842105263157895,,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.631578947368421,0.75,0.7368421052631579,-0.023026315789473673,-0.018421052631578894,-0.030701754385964897,0.013157894736842146,0.013157894736842146,0.013157894736842146
KNN-8,OSTEO,allpain_v_nopain,0.7105263157894737,,0.6973684210526315,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7631578947368421,0.7368421052631579,-0.008223684210526216,0.0026315789473684292,0.004385964912280826,0.026315789473684292,0.026315789473684292,0.026315789473684292
KNN-9,OSTEO,allpain_v_nopain,0.6578947368421053,,0.7105263157894737,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7631578947368421,0.7368421052631579,-0.018092105263157854,0.0026315789473684292,0.004385964912280826,0.026315789473684292,0.026315789473684292,0.026315789473684292
KNN-10,OSTEO,allpain_v_nopain,0.7105263157894737,,0.6973684210526315,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-0.011513157894736836,0.0,0.0,0.0,0.0,0.0
KNN-20,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,allpain_v_duloxetine,0.7333333333333333,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,-0.0016666666666667052,0.0,0.0,0.0,0.0,0.0
LDA,OSTEO,allpain_v_duloxetine,0.36,,0.7466666666666667,0.56,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.56,0.5066666666666667,0.7466666666666667,-0.125,-0.08533333333333326,-0.14222222222222225,0.0,0.0,0.0
SVM,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_duloxetine,0.4,,0.4133333333333333,0.4,0.4933333333333334,0.4666666666666667,0.2533333333333333,0.4133333333333333,0.38666666666666666,0.7466666666666667,-0.3433333333333334,-0.3440000000000001,-0.3955555555555556,-0.2533333333333333,-0.2533333333333333,-0.3333333333333334
KNN-2,OSTEO,allpain_v_duloxetine,0.6933333333333334,,0.7066666666666667,0.68,0.72,0.6933333333333334,0.7466666666666667,0.68,0.7066666666666667,0.7466666666666667,-0.043333333333333335,-0.03733333333333333,-0.03555555555555556,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_duloxetine,0.5866666666666667,,0.5733333333333334,0.6133333333333333,0.6933333333333334,0.6933333333333334,0.7466666666666667,0.5866666666666667,0.5733333333333334,0.7466666666666667,-0.1133333333333334,-0.08800000000000008,-0.11111111111111116,0.0,0.0,0.0
KNN-4,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7333333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.72,0.72,0.7466666666666667,-0.008333333333333415,-0.010666666666666713,-0.017777777777777892,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_duloxetine,0.72,,0.68,0.7066666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.6666666666666666,0.6533333333333333,0.7466666666666667,-0.03833333333333333,-0.034666666666666734,-0.05777777777777793,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_duloxetine,0.7466666666666667,,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
