,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,LEARNING,rest_v_task,13422.878841593985,12896.760614098055,0.09797676908265124,,,0.5562251419118671,0.5802930394727495,,,9450.0,0.7746352408568998,0.5126953125
Noise Ratio,LEARNING,rest_v_task,0.035975085910652925,0.03884772336769759,-0.1973634276961699,,,-1.316772861913886,0.19291422130215075,,,8229.0,0.2228699210011983,0.4464518229166667
Shifted Noise Ratio,LEARNING,rest_v_task,0.0739905498281787,0.08325279209621993,-0.40025546517044297,,,-2.499603122922872,0.015286405280058122,,,7139.0,0.01068517470946657,0.3873155381944444
β,LEARNING,rest_v_task,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
Largest Eigenvalue,OSTEO,allpain_v_nopain,16523.597471417255,17350.597886260606,-0.22975848398490792,,,-0.9376645453064779,0.35436978280005904,,,475.0,0.31887839225673664,0.42410714285714285
Noise Ratio,OSTEO,allpain_v_nopain,0.012468575743639243,0.010869565217391302,0.37152385738536814,,,1.393907158488495,0.17290139850689756,,,678.5,0.1531926713496413,0.6058035714285714
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.01811169547361589,0.017725752508361205,0.07447649740300871,,,0.2847270733682384,0.7776183481770441,,,604.5,0.595594821272347,0.5397321428571429
β,OSTEO,allpain_v_nopain,0.2277000283691407,0.5160423479879463,-0.7263788108079703,,,-2.5922345884293527,0.014665698215390847,,,352.5,0.01028899254747095,0.31473214285714285
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,16523.597471417255,17260.445521364938,-0.19148787902982078,,,-0.674249133256184,0.5056988136861671,,,478.5,0.5184574883092592,0.44971804511278196
Noise Ratio,OSTEO,allpain_v_duloxetine,0.012468575743639243,0.012810039121896757,-0.08348189222153164,,,-0.34329776775834603,0.7333279333482068,,,504.0,0.728920752859745,0.47368421052631576
Shifted Noise Ratio,OSTEO,allpain_v_duloxetine,0.01811169547361589,0.01782471906534491,0.05325490841442808,,,0.18616776331783932,0.8536738951301648,,,545.0,0.8768175842328717,0.5122180451127819
β,OSTEO,allpain_v_duloxetine,0.2277000283691407,0.09065793883066385,0.3905311252746323,,,1.8232001760363301,0.07431806105804759,,,631.0,0.18586025270760986,0.5930451127819549
Largest Eigenvalue,OSTEO,allpain_v_pain,16523.597471417255,16145.216040363039,0.10539604261557123,,,0.5064371810802747,0.6139128161131504,,,1089.5,0.6773579161550873,0.5258204633204633
Noise Ratio,OSTEO,allpain_v_pain,0.012468575743639243,0.01229322968453403,0.0399272226498855,,,0.18540613708836806,0.8534255510713713,,,1064.0,0.8244559583750553,0.5135135135135135
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.01811169547361589,0.018259061737322606,-0.02938247156036758,,,-0.14102071263153237,0.8882016763815856,,,1023.0,0.9200271390846472,0.4937258687258687
β,OSTEO,allpain_v_pain,0.2277000283691407,0.29807299326727754,-0.17761218143202423,,,-0.8212491671063092,0.4142253025643785,,,937.0,0.41048871463434244,0.45222007722007723
Largest Eigenvalue,OSTEO,nopain_v_pain,17350.597886260606,16145.216040363039,0.3593984750986119,,,1.3113639559079031,0.1971212216758961,,,455.0,0.15767934087994107,0.6148648648648649
Noise Ratio,OSTEO,nopain_v_pain,0.010869565217391302,0.01229322968453403,-0.3127968537605016,,,-1.1378774257984385,0.26191633859810226,,,308.5,0.29511769808541277,0.4168918918918919
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.017725752508361205,0.018259061737322606,-0.10823036695781295,,,-0.3795300874268807,0.7065143127326085,,,332.0,0.5194700609407747,0.4486486486486487
β,OSTEO,nopain_v_pain,0.5160423479879463,0.29807299326727754,0.5094092865892866,,,1.8063528219999139,0.07893224560650271,,,469.5,0.0878887403170444,0.6344594594594595
Largest Eigenvalue,OSTEO,duloxetine_v_nopain,17260.445521364938,17350.597886260606,-0.023893950361932727,,,-0.0740803719350513,0.9413832808599234,,,190.0,0.9887910583324784,0.5
Noise Ratio,OSTEO,duloxetine_v_nopain,0.012810039121896757,0.010869565217391302,0.47964892602042614,,,1.505957724091519,0.14081169673260385,,,247.0,0.10250112487927227,0.65
Shifted Noise Ratio,OSTEO,duloxetine_v_nopain,0.01782471906534491,0.017725752508361205,0.017628290380719034,,,0.05482325078946724,0.9565851273058892,,,196.5,0.8630108743536857,0.5171052631578947
β,OSTEO,duloxetine_v_nopain,0.09065793883066385,0.5160423479879463,-1.184362501694476,,,-3.7499702963085735,0.000763951895395593,,,82.0,0.0014388427798150407,0.21578947368421053
Largest Eigenvalue,OSTEO,duloxetine_v_pain,17260.445521364938,16145.216040363039,0.3010879494532341,,,0.9930082278423865,0.3286015756121322,,,405.0,0.3590518368769672,0.5761024182076814
Noise Ratio,OSTEO,duloxetine_v_pain,0.012810039121896757,0.01229322968453403,0.12070720389662602,,,0.4643330213280224,0.6446275404828842,,,379.5,0.6240878161093368,0.5398293029871978
Shifted Noise Ratio,OSTEO,duloxetine_v_pain,0.01782471906534491,0.018259061737322606,-0.08330269262948338,,,-0.273968893856612,0.7859880851890981,,,338.5,0.8252719001773619,0.48150782361308675
β,OSTEO,duloxetine_v_pain,0.09065793883066385,0.29807299326727754,-0.5603648196373628,,,-2.3428294008506523,0.022911692565074672,,,252.5,0.06579569392063728,0.35917496443812236
Largest Eigenvalue,PSYCH_VIGILANCE_SES-1,high_v_low,117351.75748328271,102518.35724035508,0.38387562135201636,,,1.8019163017222397,0.0751229608494107,,,1106.0,0.22273309169393407,0.5760416666666667
Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.010660535117056858,0.010200668896321069,0.086919691764309,,,0.405197406438418,0.6863813064981081,,,1033.5,0.5300995708529284,0.53828125
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.027243589743589744,0.0205685618729097,0.5826541946637556,,,2.872650603691504,0.005337004367741335,,,1217.0,0.030367606877650628,0.6338541666666667
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.8368502247330794,0.6292765994358507,0.5812923959019515,,,2.6722095774668735,0.009207389845434889,,,1291.0,0.002173769027030336,0.6723958333333333
