,data,x_n,y_n,z_n,x_mm,y_mm,z_mm,t,TR,orient
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-1_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-2_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-3_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-4_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-5_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-1/func/sub-RC4101_ses-1_task-ANT_run-6_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-1_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-2_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-3_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-4_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-5_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4101/ses-2/func/sub-RC4101_ses-2_task-ANT_run-6_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-1_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-2_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-3_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-4_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-5_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-1/func/sub-RC4103_ses-1_task-ANT_run-6_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-1_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-2_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-3_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-4_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-5_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4103/ses-2/func/sub-RC4103_ses-2_task-ANT_run-6_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000020027160645,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4106/ses-1/func/sub-RC4106_ses-1_task-ANT_run-1_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4106/ses-1/func/sub-RC4106_ses-1_task-ANT_run-2_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4106/ses-1/func/sub-RC4106_ses-1_task-ANT_run-3_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4106/ses-1/func/sub-RC4106_ses-1_task-ANT_run-4_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
Park_v_Control/ds001907-download/derivatives/sub-RC4106/ses-1/func/sub-RC4106_ses-1_task-ANT_run-5_bold.nii.gz,Park_v_Control,96,114,96,2.0,2.0,2.0,149,2.4000000953674316,LPI
